Basic_Density	Proline_Density	Net_Charge_Density	Rare_Codon_Density	Hydrophobicity	Poly_Basic	Poly_Pro	Poly_Gly	DiPeptide_Slow	Group
0.10084033613445378	0.03081232492997199	0.036414565826330535	0.008403361344537815	0.1985994397759104	0	0	0	0	UFM1_dependent
0.14814814814814814	0.0	0.14814814814814814	0.0	0.9703703703703709	0	0	0	0	UFM1_dependent
0.24878048780487805	0.014634146341463415	0.1951219512195122	0.0	-0.5604878048780488	0	0	0	0	UFM1_dependent
0.1111111111111111	0.06349206349206349	0.09523809523809523	0.015873015873015872	0.31746031746031744	0	0	0	1	UFM1_dependent
0.13846153846153847	0.09230769230769231	0.1076923076923077	0.03076923076923077	-0.12461538461538461	0	0	0	1	UFM1_dependent
0.11072664359861592	0.04152249134948097	0.06920415224913495	0.006920415224913495	0.4397923875432519	0	0	1	1	UFM1_dependent
0.15789473684210525	0.05263157894736842	0.10526315789473684	0.02631578947368421	-0.2342105263157892	0	0	0	1	UFM1_dependent
0.109375	0.1875	0.09375	0.0625	-0.06484375	0	0	0	1	UFM1_dependent
0.10714285714285714	0.10714285714285714	0.10714285714285714	0.03571428571428571	-0.4285714285714287	0	0	0	1	UFM1_dependent
0.10256410256410256	0.07692307692307693	0.05128205128205128	0.0	-0.26410256410256416	0	0	0	1	UFM1_dependent
0.057692307692307696	0.019230769230769232	0.019230769230769232	0.0	0.9346153846153846	0	0	0	0	UFM1_dependent
0.12105263157894737	0.05789473684210526	0.05263157894736842	0.021052631578947368	-0.1326315789473684	1	0	0	1	UFM1_dependent
0.10434782608695652	0.14782608695652175	0.06086956521739131	0.017391304347826087	-0.5373913043478264	0	0	0	1	UFM1_dependent
0.10365853658536585	0.1402439024390244	0.07926829268292683	0.018292682926829267	-0.2603658536585366	0	0	0	1	UFM1_dependent
0.0684931506849315	0.1095890410958904	0.0273972602739726	0.0273972602739726	0.3863013698630137	0	0	0	1	UFM1_dependent
0.08695652173913043	0.043478260869565216	0.043478260869565216	0.0	-0.6652173913043479	0	0	0	0	UFM1_dependent
0.2222222222222222	0.037037037037037035	0.14814814814814814	0.037037037037037035	-1.0518518518518516	1	0	0	1	UFM1_dependent
0.046052631578947366	0.23684210526315788	0.03289473684210526	0.019736842105263157	0.49013157894736825	0	1	0	1	UFM1_dependent
0.1592920353982301	0.07079646017699115	0.07964601769911504	0.017699115044247787	-0.5203539823008854	0	0	1	1	UFM1_dependent
0.12195121951219512	0.0627177700348432	0.0627177700348432	0.024390243902439025	-0.01881533101045308	0	0	1	1	UFM1_dependent
0.038461538461538464	0.19230769230769232	0.0	0.0	-0.011538461538461588	0	0	0	0	UFM1_dependent
0.12	0.16	0.08	0.0	-1.188	0	0	0	1	UFM1_dependent
0.12643678160919541	0.011494252873563218	0.06896551724137931	0.0	0.26781609195402306	0	0	0	0	UFM1_dependent
0.12725450901803606	0.05410821643286573	0.04008016032064128	0.0070140280561122245	-0.30821643286573036	1	0	0	1	UFM1_dependent
0.1258741258741259	0.1048951048951049	0.08391608391608392	0.02097902097902098	-0.2174825174825173	0	0	1	1	UFM1_dependent
0.1724137931034483	0.0	0.10344827586206896	0.0	0.22758620689655168	0	0	0	0	UFM1_dependent
0.10416666666666667	0.16666666666666666	0.0625	0.020833333333333332	-0.13020833333333331	0	0	0	1	UFM1_dependent
0.11538461538461539	0.07692307692307693	0.07692307692307693	0.038461538461538464	-0.38846153846153836	0	0	0	1	UFM1_dependent
0.12284482758620689	0.03879310344827586	0.06465517241379311	0.008620689655172414	0.13103448275862065	0	0	0	1	UFM1_dependent
0.0658682634730539	0.029940119760479042	0.023952095808383235	0.0	0.6940119760479038	0	0	0	1	UFM1_dependent
0.12871287128712872	0.1188118811881188	0.09900990099009901	0.009900990099009901	-0.587128712871287	0	1	0	1	UFM1_dependent
0.1069182389937107	0.05188679245283019	0.0660377358490566	0.007861635220125786	-0.031446540880503276	0	1	0	1	UFM1_dependent
0.11538461538461539	0.07692307692307693	0.07692307692307693	0.0	0.25	0	0	0	0	UFM1_dependent
0.16312056737588654	0.07801418439716312	0.09219858156028368	0.0070921985815602835	-0.807801418439717	1	0	0	1	UFM1_dependent
0.10395010395010396	0.031185031185031187	0.062370062370062374	0.004158004158004158	0.44303534303534337	0	0	0	0	UFM1_dependent
0.08536585365853659	0.10365853658536585	0.042682926829268296	0.006097560975609756	-0.14573170731707336	0	0	0	1	UFM1_dependent
0.046511627906976744	0.16279069767441862	0.046511627906976744	0.023255813953488372	-0.09767441860465106	0	0	0	0	UFM1_dependent
0.08527131782945736	0.10852713178294573	0.031007751937984496	0.007751937984496124	-0.22170542635658916	0	0	0	1	UFM1_dependent
0.0975609756097561	0.0975609756097561	0.04878048780487805	0.024390243902439025	-0.5902439024390244	0	0	0	1	UFM1_dependent
0.10043668122270742	0.0611353711790393	0.05240174672489083	0.004366812227074236	0.027947598253275124	0	0	0	1	UFM1_dependent
0.06666666666666667	0.044444444444444446	0.06666666666666667	0.0	0.8000000000000002	0	0	0	0	UFM1_dependent
0.11197916666666667	0.044270833333333336	0.059895833333333336	0.005208333333333333	0.0567708333333333	0	0	0	1	UFM1_dependent
0.09519038076152304	0.04208416833667335	0.028056112224448898	0.0070140280561122245	0.13547094188376743	1	0	0	1	UFM1_dependent
0.07795698924731183	0.08870967741935484	0.0	0.008064516129032258	-0.19704301075268835	0	0	0	1	UFM1_dependent
0.15064102564102563	0.0673076923076923	0.10576923076923077	0.03205128205128205	-0.38044871794871826	1	0	1	1	UFM1_dependent
0.0958904109589041	0.10273972602739725	0.06164383561643835	0.0136986301369863	-0.2404109589041095	0	0	1	1	UFM1_dependent
0.06896551724137931	0.1724137931034483	0.06896551724137931	0.0	0.6275862068965516	0	0	0	1	UFM1_dependent
0.20689655172413793	0.10344827586206896	0.20689655172413793	0.034482758620689655	-0.475862068965517	0	0	0	1	UFM1_dependent
0.11594202898550725	0.15942028985507245	0.08695652173913043	0.028985507246376812	-0.03623188405797099	0	0	0	0	UFM1_dependent
0.0784313725490196	0.0784313725490196	0.0	0.0196078431372549	-0.13823529411764704	0	0	0	1	UFM1_dependent
0.07777777777777778	0.1	0.03333333333333333	0.0	0.02222222222222217	0	0	0	1	UFM1_dependent
0.1111111111111111	0.1111111111111111	0.05555555555555555	0.0	-0.11111111111111116	0	0	0	1	UFM1_dependent
0.10416666666666667	0.041666666666666664	0.10416666666666667	0.0	-0.1354166666666666	0	0	0	0	UFM1_dependent
0.1774193548387097	0.08064516129032258	0.11290322580645161	0.016129032258064516	-0.4903225806451612	0	0	0	0	UFM1_dependent
