class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,SRSF5_count,SRSF5_density,SRSF11_count,SRSF11_density,SRSF1_count,SRSF1_density,SRSF2_count,SRSF2_density,SRSF7_count,SRSF7_density,PCBP2_count,PCBP2_density,PCBP2_long_count,PCBP2_long_density,PCBP3_count,PCBP3_density,HNRNPH1_count,HNRNPH1_density,HNRNPF_count,HNRNPF_density,HNRNPA2B1_count,HNRNPA2B1_density,RBM25_count,RBM25_density,RBM6_count,RBM6_density,RBM39_count,RBM39_density,RBM24_count,RBM24_density,PTBP1_count,PTBP1_density,ESRP1_count,ESRP1_density,SS5_score,SS3_score,BP_count,rel_position,is_first_intron,upstream_exon_GC,upstream_exon_length,codon_optimality,decoy_5ss_count,decoy_3ss_count,decoy_total,SS5_accessibility,SS3_accessibility
1,1817,0.4232250963126032,0.6,8,19,10.456796917996698,0,0,4,2.2014309301045683,1,0.5503577325261421,0,0,0,0,20,11.00715465052284,0,0,1,0.5503577325261421,0,0,0,0,4,2.2014309301045683,0,0,0,0,4,2.2014309301045683,0,0,1,0.5503577325261421,1,0.5503577325261421,0.6666666666666666,4.888888888888889,0,0,1,0.24,50,0.8125,9,11,20,0.7777777777777778,0.6086956521739131
1,395,0.40759493670886077,0.4,4,2,5.063291139240506,0,0,0,0,1,2.531645569620253,0,0,0,0,2,5.063291139240506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,3.111111111111111,0,0,1,0.32,50,0.8125,9,7,16,0.3333333333333333,0.4347826086956522
1,949,0.3993677555321391,0.2,4,4,4.214963119072708,0,0,0,0,2,2.107481559536354,0,0,0,0,2,2.107481559536354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.2222222222222223,0,0,1,0.24,50,0.625,11,4,15,0.6666666666666666,0.4782608695652174
1,478,0.6234309623430963,0.6666666666666666,3,4,8.368200836820083,3,6.276150627615063,2,4.184100418410042,1,2.092050209205021,0,0,0,0,13,27.196652719665273,0,0,1,2.092050209205021,1,2.092050209205021,0,0,2,4.184100418410042,0,0,0,0,3,6.276150627615063,1,2.092050209205021,1,2.092050209205021,0,0,2.333333333333333,4.888888888888889,0,0,1,0.68,50,0.1875,5,21,26,0.4444444444444445,0.1739130434782609
1,1088,0.6194852941176471,0.8,4,8,7.352941176470588,8,7.352941176470588,3,2.7573529411764706,4,3.676470588235294,0,0,0,0,31,28.49264705882353,0,0,3,2.7573529411764706,1,0.9191176470588235,0,0,5,4.595588235294118,3,2.7573529411764706,0,0,5,4.595588235294118,3,2.7573529411764706,1,0.9191176470588235,2,1.838235294117647,1.6666666666666667,5.333333333333333,0,0,1,0.62,50,0.125,5,19,24,0.4444444444444444,0.5652173913043479
1,1130,0.36902654867256635,0.5333333333333333,7,6,5.3097345132743365,0,0,0,0,0,0,0,0,0,0,6,5.3097345132743365,0,0,1,0.8849557522123894,0,0,0,0,1,0.8849557522123894,1,0.8849557522123894,0,0,1,0.8849557522123894,1,0.8849557522123894,0,0,2,1.7699115044247788,1.6666666666666667,4,1,0,1,0.3,50,0.5625,10,13,23,0.3333333333333333,0.6086956521739131
1,1299,0.6728252501924558,0.26666666666666666,4,7,5.388760585065436,9,6.928406466512702,3,2.309468822170901,6,4.618937644341802,0,0,0,0,65,50.03849114703618,2,1.539645881447267,3,2.309468822170901,2,1.539645881447267,0,0,4,3.079291762894534,2,1.539645881447267,0,0,23,17.705927636643572,2,1.539645881447267,2,1.539645881447267,1,0.7698229407236336,3.666666666666667,2.6666666666666665,0,0,1,0.64,50,0.3125,8,12,20,0.3333333333333333,0.13043478260869565
1,866,0.5923787528868361,0.5333333333333333,7,8,9.237875288683602,5,5.773672055427252,2,2.3094688221709005,2,2.3094688221709005,0,0,0,0,28,32.33256351039261,2,2.3094688221709005,4,4.618937644341801,0,0,0,0,4,4.618937644341801,2,2.3094688221709005,0,0,8,9.237875288683602,2,2.3094688221709005,3,3.464203233256351,0,0,2.666666666666667,4,0,0,1,0.38,50,0.8125,11,12,23,0.3333333333333333,0.30434782608695654
1,345,0.6463768115942029,0.26666666666666666,3,3,8.695652173913045,1,2.8985507246376816,2,5.797101449275363,1,2.8985507246376816,0,0,0,0,9,26.086956521739133,0,0,0,0,1,2.8985507246376816,0,0,2,5.797101449275363,0,0,1,2.8985507246376816,1,2.8985507246376816,1,2.8985507246376816,0,0,0,0,4.666666666666667,7.555555555555555,0,0,1,0.72,50,0.4375,11,14,25,0.4444444444444444,0.30434782608695654
1,416,0.6754807692307693,0.3333333333333333,3,1,2.4038461538461537,5,12.01923076923077,0,0,0,0,0,0,0,0,12,28.846153846153847,0,0,1,2.4038461538461537,0,0,0,0,0,0,0,0,1,2.4038461538461537,6,14.423076923076923,0,0,1,2.4038461538461537,0,0,2,4,0,0,1,0.54,50,0.5625,10,18,28,0.3333333333333333,0.391304347826087
1,438,0.3835616438356164,0.2,5,2,4.566210045662101,0,0,0,0,0,0,0,0,0,0,3,6.8493150684931505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666666666667,1.7777777777777777,0,0,1,0.34,50,0.6875,8,8,16,0.4444444444444444,0.5652173913043478
1,777,0.44272844272844275,0.2,5,5,6.435006435006435,0,0,0,0,4,5.148005148005148,0,0,0,0,4,5.148005148005148,0,0,0,0,0,0,0,0,0,0,0,0,1,1.287001287001287,0,0,0,0,1,1.287001287001287,0,0,3,2.2222222222222223,0,0,1,0.28,50,0.75,15,13,28,0.6666666666666666,0.5217391304347826
1,507,0.6055226824457594,0.4666666666666667,4,5,9.861932938856016,2,3.9447731755424065,2,3.9447731755424065,3,5.9171597633136095,0,0,0,0,19,37.47534516765286,0,0,3,5.9171597633136095,0,0,0,0,2,3.9447731755424065,0,0,0,0,6,11.834319526627219,1,1.9723865877712032,5,9.861932938856016,0,0,3.6666666666666665,3.5555555555555554,0,0,1,0.6,50,0.4375,13,15,28,0,0.26086956521739135
1,810,0.6259259259259259,0.3333333333333333,4,6,7.4074074074074066,3,3.7037037037037033,6,7.4074074074074066,6,7.4074074074074066,0,0,0,0,20,24.691358024691358,0,0,3,3.7037037037037033,0,0,0,0,7,8.641975308641975,3,3.7037037037037033,0,0,5,6.172839506172839,2,2.4691358024691357,0,0,0,0,5,7.111111111111111,0,0,1,0.5,50,0.5,9,8,17,0.3333333333333333,0.30434782608695654
1,484,0.5723140495867769,0.6,4,3,6.198347107438017,1,2.066115702479339,0,0,2,4.132231404958678,0,0,0,0,10,20.66115702479339,0,0,1,2.066115702479339,1,2.066115702479339,1,2.066115702479339,1,2.066115702479339,2,4.132231404958678,0,0,1,2.066115702479339,1,2.066115702479339,0,0,2,4.132231404958678,2,4.888888888888889,0,0,1,0.52,50,0.375,12,10,22,0.1111111111111111,0.4347826086956522
1,337,0.5905044510385756,0.3333333333333333,4,5,14.836795252225519,3,8.90207715133531,0,0,2,5.9347181008902075,0,0,0,0,8,23.73887240356083,0,0,1,2.9673590504451037,1,2.9673590504451037,0,0,0,0,1,2.9673590504451037,0,0,0,0,0,0,1,2.9673590504451037,0,0,1.3333333333333333,2.2222222222222223,0,0,1,0.66,50,0.3125,10,14,24,0.5555555555555556,0.34782608695652173
1,320,0.596875,0.6666666666666666,3,5,15.625,0,0,1,3.125,1,3.125,0,0,0,0,5,15.625,0,0,0,0,0,0,0,0,1,3.125,0,0,0,0,1,3.125,0,0,0,0,2,6.25,8,5.333333333333333,0,0,1,0.66,50,0.25,13,19,32,0.3333333333333333,0.391304347826087
1,1090,0.6229357798165137,0.3333333333333333,4,10,9.174311926605505,5,4.587155963302752,0,0,4,3.6697247706422016,0,0,0,0,54,49.54128440366972,3,2.7522935779816513,10,9.174311926605505,0,0,0,0,0,0,0,0,2,1.8348623853211008,16,14.678899082568806,0,0,7,6.422018348623853,0,0,3.333333333333333,3.111111111111111,1,0,1,0.58,50,0.3125,6,24,30,0.4444444444444445,0.21739130434782608
1,643,0.5132192846034215,0.4666666666666667,5,5,7.776049766718507,0,0,1,1.5552099533437014,3,4.665629860031104,0,0,0,0,12,18.662519440124417,0,0,1,1.5552099533437014,0,0,0,0,1,1.5552099533437014,1,1.5552099533437014,0,0,0,0,0,0,1,1.5552099533437014,0,0,2.666666666666667,4.444444444444445,1,0,1,0.4,50,0.4375,14,19,33,0.3333333333333333,0.7391304347826086
