gene_id	gene_name	Col0_ANS_Cytosol_Rep1	Col0_ANS_Cytosol_Rep2	Col0_ANS_Cytosol_Rep3	Col0_ANS_Nuclear_Rep1	Col0_ANS_Nuclear_Rep2	Col0_ANS_Nuclear_Rep3	X.Col0_DMSO_Cytosol_Rep1	Col0_DMSO_Cytosol_Rep2	Col0_DMSO_Cytosol_Rep3	Col0_DMSO_Nuclear_Rep1	Col0_DMSO_Nuclear_Rep2	Col0_DMSO_Nuclear_Rep3	Col0_DMSO_Rep1	Col0_DMSO_Rep2	Col0_DMSO_Rep3	Col0_for_siRNA_Rep1	Col0_for_siRNA_Rep2	Col0_TUN_Rep1	Col0_TUN_Rep2	Col0_TUN_Rep3	ski2_DMSO_Rep1	ski2_DMSO_Rep2	ski2_DMSO_Rep3	ski2_TUN_Rep1	ski2_TUN_Rep2	ski2_TUN_Rep3	ufm1_ANS_Cytosol_Rep1	ufm1_ANS_Cytosol_Rep2	ufm1_ANS_Cytosol_Rep3	ufm1_ANS_Nuclear_Rep1	ufm1_ANS_Nuclear_Rep2	ufm1_ANS_Nuclear_Rep3	ufm1_DMSO_Cytosol_Rep1	ufm1_DMSO_Cytosol_Rep2	ufm1_DMSO_Cytosol_Rep3	ufm1_DMSO_Nuclear_Rep1	ufm1_DMSO_Nuclear_Rep2	ufm1_DMSO_Nuclear_Rep3	UFM1_for_siRNA_Rep1	UFM1_for_siRNA_Rep2	UFM1.His_for_siRNA_Rep1	UFM1.His_for_siRNA_Rep2	xrn4_DMSO_Rep1	xrn4_DMSO_Rep2	xrn4_DMSO_Rep3	xrn4_TUN_Rep1	xrn4_TUN_Rep2	xrn4_TUN_Rep3
AT2G29730	UGT71D1	13.482502	11.21083	13.681355	11.049003	13.927577	11.680996	10.087348	4.903274	10.543831	7.354472	4.822339	8.47472	10.072028	7.192494	11.045223	8.213684	8.656249	10.401944	7.050593	7.998953	10.042596	8.378973	9.370736	8.105369	7.368637	8.217985	9.776607	14.363382	11.209667	14.832298	10.250589	8.327201	9.766635	8.302439	6.220976	9.908163	7.173822	7.518007	11.716937	9.515287	11.040262	10.318715	9.941039	10.61195	10.352627	7.946642	5.483907	14.046887
AT2G29735	AT2G29735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.729145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29740	UGT71C2	21.419201	27.231268	25.870007	28.039384	23.793169	25.772911	8.926335	8.156098	10.21381	10.589611	10.240696	14.151076	10.434958	17.432437	17.496304	3.700626	4.575305	30.268403	13.994789	36.335533	12.027211	7.174302	8.976154	29.363286	25.827541	33.068663	26.690045	23.705191	23.556273	30.002727	27.758895	26.044331	9.084079	8.108725	8.501573	12.093397	9.985703	9.799987	8.662927	3.481817	8.049884	5.814734	10.876353	14.477446	11.911673	11.665348	29.671974	24.065182
AT2G29750	UGT71C1	7.803474	5.922054	16.099131	7.912889	8.057003	14.058309	4.912554	3.689564	12.458367	6.583356	5.945265	11.376223	2.060556	2.681684	4.589467	6.555328	6.910071	2.939454	4.852934	2.738194	5.874759	5.17669	3.186782	1.21207	2.175553	2.761846	6.047236	14.328402	11.138824	8.364999	6.497292	8.926756	13.506214	1.920398	2.785836	12.231549	4.222745	4.303003	19.033234	12.074743	22.494596	23.729002	5.086887	3.182009	2.360936	2.355205	2.743339	4.332205
AT2G29760	OTP81	0.719011	1.191835	0.648564	0.098548	1.417418	0.730419	0.444571	0.794365	1.127871	0.337738	0.806667	0.886584	2.749599	3.005036	2.817382	1.209863	1.866072	1.662988	4.085451	2.000539	2.207155	3.887911	2.198403	0.963288	2.797359	2.345402	0	0.769421	0.632922	1.02072	0.866278	1.09592	1.389027	0	1.489899	1.127849	0.302549	1.631277	1.75876	1.343704	0.793656	1.527543	6.908895	3.807078	0.821771	1.714506	0	2.471146
AT2G29770	AT2G29770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29780	AT2G29780	0.05151	1.505792	0.57973	0.247884	0.678603	0.595147	0	0	0	0	0.094775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308083	0	0	0	0.197701	0.173974	0	0	0	0.060124	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29790	AT2G29790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48083	0	0	0	0.931341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29800	AT2G29800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036916	0	0	0	0	0	0
AT2G29810	AT2G29810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058187	0	0	0	0.195418	0	0	0	0.234704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
