GeneId	Cluster
AT3G10330	Col0_only_Down
AT3G10380	Col0_only_Down
AT3G10530	Col0_only_Down
AT3G11960	Col0_only_Down
AT3G11964	Col0_only_Down
AT3G12280	Col0_only_Down
AT3G12680	Col0_only_Down
AT3G13200	Col0_only_Down
AT3G13670	Col0_only_Down
AT3G14330	Col0_only_Down
AT3G14890	Col0_only_Down
AT3G15420	Col0_only_Down
AT3G15460	Col0_only_Down
AT3G15970	Col0_only_Down
AT3G16000	Col0_only_Down
AT3G16270	Col0_only_Down
AT3G16840	Col0_only_Down
AT3G17850	Col0_only_Down
AT3G18310	Col0_only_Down
AT3G18520	Col0_only_Down
AT3G18640	Col0_only_Down
AT3G18760	Col0_only_Down
AT3G20560	Col0_only_Down
AT3G20630	Col0_only_Down
AT3G23590	Col0_only_Down
AT3G23620	Col0_only_Down
AT3G24570	Col0_only_Down
AT3G25680	Col0_only_Down
AT3G26400	Col0_only_Down
AT3G27460	Col0_only_Down
AT3G27960	Col0_only_Down
AT3G28030	Col0_only_Down
AT3G28730	Col0_only_Down
AT3G28860	Col0_only_Down
AT3G43220	Col0_only_Down
AT3G44680	Col0_only_Down
AT3G46640	Col0_only_Down
AT3G47850	Col0_only_Down
AT3G48430	Col0_only_Down
AT3G48670	Col0_only_Down
AT3G49660	Col0_only_Down
AT3G49890	Col0_only_Down
AT3G52280	Col0_only_Down
AT3G52860	Col0_only_Down
AT3G55000	Col0_only_Down
AT3G57340	Col0_only_Down
AT3G57660	Col0_only_Down
AT3G58630	Col0_only_Down
AT3G60240	Col0_only_Down
AT3G61710	Col0_only_Down
AT3G63070	Col0_only_Down
AT4G00420	Col0_only_Down
AT4G01590	Col0_only_Down
AT4G03120	Col0_only_Down
AT4G04830	Col0_only_Down
AT4G04920	Col0_only_Down
AT4G05390	Col0_only_Down
AT4G07950	Col0_only_Down
AT4G09150	Col0_only_Down
AT4G09340	Col0_only_Down
AT4G09980	Col0_only_Down
AT4G10430	Col0_only_Down
AT4G10790	Col0_only_Down
AT4G11790	Col0_only_Down
AT4G12300	Col0_only_Down
AT4G12780	Col0_only_Down
AT4G12980	Col0_only_Down
AT4G13460	Col0_only_Down
AT4G13660	Col0_only_Down
AT4G13750	Col0_only_Down
AT4G15020	Col0_only_Down
AT4G15180	Col0_only_Down
AT4G15410	Col0_only_Down
AT4G15570	Col0_only_Down
AT4G15790	Col0_only_Down
AT4G16630	Col0_only_Down
AT4G17190	Col0_only_Down
AT4G17330	Col0_only_Down
AT4G18130	Col0_only_Down
AT4G18530	Col0_only_Down
AT4G19710	Col0_only_Down
AT4G20280	Col0_only_Down
AT4G20300	Col0_only_Down
AT4G21520	Col0_only_Down
AT4G21670	Col0_only_Down
AT4G22285	Col0_only_Down
AT4G22770	Col0_only_Down
AT4G24800	Col0_only_Down
AT4G25180	Col0_only_Down
AT4G25340	Col0_only_Down
AT4G26640	Col0_only_Down
AT4G26780	Col0_only_Down
AT4G27010	Col0_only_Down
AT4G28710	Col0_only_Down
AT4G29220	Col0_only_Down
AT4G30000	Col0_only_Down
AT4G32200	Col0_only_Down
AT4G32285	Col0_only_Down
AT4G32420	Col0_only_Down
AT4G32620	Col0_only_Down
AT4G32820	Col0_only_Down
AT4G33200	Col0_only_Down
AT4G33910	Col0_only_Down
AT4G34640	Col0_only_Down
AT4G35580	Col0_only_Down
AT4G35750	Col0_only_Down
AT4G36690	Col0_only_Down
AT4G36980	Col0_only_Down
AT4G37210	Col0_only_Down
AT4G38180	Col0_only_Down
AT4G38600	Col0_only_Down
AT5G01010	Col0_only_Down
AT5G04510	Col0_only_Down
AT5G06460	Col0_only_Down
AT5G07940	Col0_only_Down
AT5G08130	Col0_only_Down
AT5G09380	Col0_only_Down
AT5G09390	Col0_only_Down
AT5G09840	Col0_only_Down
AT5G09860	Col0_only_Down
AT5G10240	Col0_only_Down
AT5G12220	Col0_only_Down
AT5G13010	Col0_only_Down
AT5G13020	Col0_only_Down
AT5G13310	Col0_only_Down
AT5G13500	Col0_only_Down
AT5G13590	Col0_only_Down
AT5G14250	Col0_only_Down
AT5G14270	Col0_only_Down
AT5G15020	Col0_only_Down
AT5G15270	Col0_only_Down
AT5G16560	Col0_only_Down
AT5G16750	Col0_only_Down
AT5G16890	Col0_only_Down
AT5G17900	Col0_only_Down
AT5G19210	Col0_only_Down
AT5G20250	Col0_only_Down
AT5G20510	Col0_only_Down
AT5G21010	Col0_only_Down
AT5G23080	Col0_only_Down
AT5G23680	Col0_only_Down
AT5G24010	Col0_only_Down
AT5G24165	Col0_only_Down
AT5G25080	Col0_only_Down
AT5G25150	Col0_only_Down
AT5G25590	Col0_only_Down
AT5G26180	Col0_only_Down
AT5G27720	Col0_only_Down
AT5G38840	Col0_only_Down
AT5G39510	Col0_only_Down
AT5G41790	Col0_only_Down
AT5G44180	Col0_only_Down
AT5G44280	Col0_only_Down
AT5G44780	Col0_only_Down
AT5G45470	Col0_only_Down
AT5G46020	Col0_only_Down
AT5G46400	Col0_only_Down
AT5G46840	Col0_only_Down
AT5G48030	Col0_only_Down
AT5G48930	Col0_only_Down
AT5G52010	Col0_only_Down
AT5G53460	Col0_only_Down
AT5G53940	Col0_only_Down
AT5G54910	Col0_only_Down
AT5G54960	Col0_only_Down
AT5G55300	Col0_only_Down
AT5G56280	Col0_only_Down
AT5G56630	Col0_only_Down
AT5G58020	Col0_only_Down
AT5G59010	Col0_only_Down
AT5G60030	Col0_only_Down
AT5G60040	Col0_only_Down
AT5G61000	Col0_only_Down
AT5G62270	Col0_only_Down
AT5G62930	Col0_only_Down
AT5G63110	Col0_only_Down
AT5G63260	Col0_only_Down
AT5G64390	Col0_only_Down
AT5G65160	Col0_only_Down
AT5G65900	Col0_only_Down
AT5G66170	Col0_only_Down
AT5G66540	Col0_only_Down
AT5G67530	Col0_only_Down
AT5G67540	Col0_only_Down
AT1G02640	Col0_only_Up
AT1G02780	Col0_only_Up
AT1G02810	Col0_only_Up
AT1G04110	Col0_only_Up
AT1G04170	Col0_only_Up
AT1G04520	Col0_only_Up
AT1G04680	Col0_only_Up
AT1G04710	Col0_only_Up
AT1G06490	Col0_only_Up
AT1G07070	Col0_only_Up
AT1G08160	Col0_only_Up
AT1G14610	Col0_only_Up
AT1G16000	Col0_only_Up
AT1G16790	Col0_only_Up
AT1G16905	Col0_only_Up
AT1G17880	Col0_only_Up
AT1G18540	Col0_only_Up
AT1G18970	Col0_only_Up
AT1G18980	Col0_only_Up
AT1G19900	Col0_only_Up
AT1G20225	Col0_only_Up
AT1G20850	Col0_only_Up
AT1G21670	Col0_only_Up
AT1G22840	Col0_only_Up
AT1G23170	Col0_only_Up
AT1G26560	Col0_only_Up
AT1G26820	Col0_only_Up
AT1G29050	Col0_only_Up
AT1G29660	Col0_only_Up
AT1G29670	Col0_only_Up
AT1G30600	Col0_only_Up
AT1G30760	Col0_only_Up
AT1G33040	Col0_only_Up
AT1G33120	Col0_only_Up
AT1G33811	Col0_only_Up
AT1G34360	Col0_only_Up
AT1G41830	Col0_only_Up
AT1G43790	Col0_only_Up
AT1G44835	Col0_only_Up
AT1G47600	Col0_only_Up
AT1G48830	Col0_only_Up
AT1G48930	Col0_only_Up
AT1G50060	Col0_only_Up
AT1G51470	Col0_only_Up
AT1G52060	Col0_only_Up
AT1G52070	Col0_only_Up
AT1G53070	Col0_only_Up
AT1G53290	Col0_only_Up
AT1G53830	Col0_only_Up
AT1G55180	Col0_only_Up
AT1G55210	Col0_only_Up
AT1G57590	Col0_only_Up
AT1G58170	Col0_only_Up
AT1G59600	Col0_only_Up
AT1G59710	Col0_only_Up
AT1G61770	Col0_only_Up
AT1G61900	Col0_only_Up
AT1G62660	Col0_only_Up
AT1G63220	Col0_only_Up
AT1G64990	Col0_only_Up
AT1G65270	Col0_only_Up
AT1G65570	Col0_only_Up
AT1G65820	Col0_only_Up
AT1G65870	Col0_only_Up
AT1G66520	Col0_only_Up
AT1G66530	Col0_only_Up
AT1G66580	Col0_only_Up
AT1G68850	Col0_only_Up
AT1G69210	Col0_only_Up
AT1G71380	Col0_only_Up
AT1G72550	Col0_only_Up
AT1G72710	Col0_only_Up
AT1G73260	Col0_only_Up
AT1G74000	Col0_only_Up
AT1G74020	Col0_only_Up
AT1G76160	Col0_only_Up
AT1G77122	Col0_only_Up
AT1G77710	Col0_only_Up
AT1G79720	Col0_only_Up
AT1G80240	Col0_only_Up
AT2G01630	Col0_only_Up
AT2G06850	Col0_only_Up
AT2G15220	Col0_only_Up
AT2G16250	Col0_only_Up
AT2G18980	Col0_only_Up
AT2G20440	Col0_only_Up
AT2G23630	Col0_only_Up
AT2G24280	Col0_only_Up
AT2G25840	Col0_only_Up
AT2G27190	Col0_only_Up
AT2G27920	Col0_only_Up
AT2G28100	Col0_only_Up
AT2G28470	Col0_only_Up
AT2G31110	Col0_only_Up
AT2G32810	Col0_only_Up
AT2G33840	Col0_only_Up
AT2G34080	Col0_only_Up
AT2G34810	Col0_only_Up
AT2G35605	Col0_only_Up
AT2G35690	Col0_only_Up
AT2G35770	Col0_only_Up
AT2G35860	Col0_only_Up
AT2G35960	Col0_only_Up
AT2G37020	Col0_only_Up
AT2G38010	Col0_only_Up
AT2G38040	Col0_only_Up
AT2G38080	Col0_only_Up
AT2G38390	Col0_only_Up
AT2G39090	Col0_only_Up
AT2G39990	Col0_only_Up
AT2G40290	Col0_only_Up
AT2G42790	Col0_only_Up
AT2G44260	Col0_only_Up
AT2G44450	Col0_only_Up
AT2G44570	Col0_only_Up
AT2G45330	Col0_only_Up
AT2G45670	Col0_only_Up
AT2G46280	Col0_only_Up
AT2G47710	Col0_only_Up
AT3G01190	Col0_only_Up
AT3G01680	Col0_only_Up
AT3G02200	Col0_only_Up
AT3G02560	Col0_only_Up
AT3G02710	Col0_only_Up
AT3G04600	Col0_only_Up
AT3G05840	Col0_only_Up
AT3G06300	Col0_only_Up
AT3G06860	Col0_only_Up
AT3G07420	Col0_only_Up
AT3G07990	Col0_only_Up
AT3G08600	Col0_only_Up
AT3G09220	Col0_only_Up
AT3G09925	Col0_only_Up
AT3G11450	Col0_only_Up
AT3G11660	Col0_only_Up
AT3G11770	Col0_only_Up
AT3G11780	Col0_only_Up
AT3G13360	Col0_only_Up
AT3G13580	Col0_only_Up
AT3G14850	Col0_only_Up
AT3G14920	Col0_only_Up
AT3G15800	Col0_only_Up
AT3G16230	Col0_only_Up
AT3G16660	Col0_only_Up
AT3G18490	Col0_only_Up
AT3G19870	Col0_only_Up
AT3G20015	Col0_only_Up
AT3G20570	Col0_only_Up
AT3G21300	Col0_only_Up
AT3G24480	Col0_only_Up
AT3G28200	Col0_only_Up
AT3G29090	Col0_only_Up
AT3G44100	Col0_only_Up
AT3G45010	Col0_only_Up
AT3G46550	Col0_only_Up
AT3G48460	Col0_only_Up
AT3G49240	Col0_only_Up
AT3G51330	Col0_only_Up
AT3G51350	Col0_only_Up
AT3G51790	Col0_only_Up
AT3G52370	Col0_only_Up
AT3G52500	Col0_only_Up
AT3G53610	Col0_only_Up
AT3G55140	Col0_only_Up
AT3G56460	Col0_only_Up
AT3G57290	Col0_only_Up
AT3G58750	Col0_only_Up
AT3G59010	Col0_only_Up
AT3G59990	Col0_only_Up
AT3G60810	Col0_only_Up
AT3G60900	Col0_only_Up
AT3G61490	Col0_only_Up
AT3G62280	Col0_only_Up
AT4G00860	Col0_only_Up
AT4G00990	Col0_only_Up
AT4G03190	Col0_only_Up
AT4G03550	Col0_only_Up
AT4G05530	Col0_only_Up
AT4G08160	Col0_only_Up
AT4G08690	Col0_only_Up
AT4G08900	Col0_only_Up
AT4G11160	Col0_only_Up
AT4G11210	Col0_only_Up
AT4G11420	Col0_only_Up
AT4G12390	Col0_only_Up
AT4G12510	Col0_only_Up
AT4G12730	Col0_only_Up
AT4G13210	Col0_only_Up
AT4G14630	Col0_only_Up
AT4G14940	Col0_only_Up
AT4G15890	Col0_only_Up
AT4G16210	Col0_only_Up
AT4G16500	Col0_only_Up
AT4G16660	Col0_only_Up
AT4G17360	Col0_only_Up
AT4G17830	Col0_only_Up
AT4G18550	Col0_only_Up
AT4G19040	Col0_only_Up
AT4G21585	Col0_only_Up
AT4G23590	Col0_only_Up
AT4G23690	Col0_only_Up
AT4G24430	Col0_only_Up
AT4G25250	Col0_only_Up
AT4G25970	Col0_only_Up
AT4G28250	Col0_only_Up
AT4G28940	Col0_only_Up
AT4G29680	Col0_only_Up
AT4G30140	Col0_only_Up
AT4G31420	Col0_only_Up
AT4G33420	Col0_only_Up
AT4G34020	Col0_only_Up
AT4G34260	Col0_only_Up
AT4G35560	Col0_only_Up
AT4G36880	Col0_only_Up
AT4G37520	Col0_only_Up
AT4G38650	Col0_only_Up
AT5G01230	Col0_only_Up
AT5G01610	Col0_only_Up
AT5G01930	Col0_only_Up
AT5G02610	Col0_only_Up
AT5G02740	Col0_only_Up
AT5G03160	Col0_only_Up
AT5G06140	Col0_only_Up
AT5G06330	Col0_only_Up
AT5G06450	Col0_only_Up
AT5G06970	Col0_only_Up
AT5G09760	Col0_only_Up
AT5G12290	Col0_only_Up
AT5G12950	Col0_only_Up
AT5G12970	Col0_only_Up
AT5G13450	Col0_only_Up
AT5G13690	Col0_only_Up
AT5G13780	Col0_only_Up
AT5G13980	Col0_only_Up
AT5G14130	Col0_only_Up
AT5G14150	Col0_only_Up
AT5G14660	Col0_only_Up
AT5G15180	Col0_only_Up
AT5G16240	Col0_only_Up
AT5G18460	Col0_only_Up
AT5G18970	Col0_only_Up
AT5G19420	Col0_only_Up
AT5G20660	Col0_only_Up
AT5G20710	Col0_only_Up
AT5G20870	Col0_only_Up
AT5G20950	Col0_only_Up
AT5G21222	Col0_only_Up
AT5G24090	Col0_only_Up
AT5G24490	Col0_only_Up
AT5G24520	Col0_only_Up
AT5G25754	Col0_only_Up
AT5G25780	Col0_only_Up
AT5G26320	Col0_only_Up
AT5G26780	Col0_only_Up
AT5G26830	Col0_only_Up
AT5G34940	Col0_only_Up
AT5G35680	Col0_only_Up
AT5G37475	Col0_only_Up
AT5G38940	Col0_only_Up
AT5G39940	Col0_only_Up
AT5G42100	Col0_only_Up
AT5G42510	Col0_only_Up
AT5G43580	Col0_only_Up
AT5G44130	Col0_only_Up
AT5G45650	Col0_only_Up
AT5G45670	Col0_only_Up
AT5G45950	Col0_only_Up
AT5G48485	Col0_only_Up
AT5G49360	Col0_only_Up
AT5G50400	Col0_only_Up
AT5G53070	Col0_only_Up
AT5G53530	Col0_only_Up
AT5G54280	Col0_only_Up
AT5G55050	Col0_only_Up
AT5G56720	Col0_only_Up
AT5G57330	Col0_only_Up
AT5G57410	Col0_only_Up
AT5G58450	Col0_only_Up
AT5G59090	Col0_only_Up
AT5G63530	Col0_only_Up
AT5G63810	Col0_only_Up
AT5G63870	Col0_only_Up
AT5G66030	Col0_only_Up
AT5G66920	Col0_only_Up
AT1G01140	ufm1_only_Down
AT1G03360	ufm1_only_Down
AT1G03365	ufm1_only_Down
AT1G06060	ufm1_only_Down
AT1G06670	ufm1_only_Down
AT1G07910	ufm1_only_Down
AT1G08260	ufm1_only_Down
AT1G10350	ufm1_only_Down
AT1G10590	ufm1_only_Down
AT1G11130	ufm1_only_Down
AT1G11760	ufm1_only_Down
AT1G12400	ufm1_only_Down
AT1G12560	ufm1_only_Down
AT1G14830	ufm1_only_Down
AT1G14890	ufm1_only_Down
AT1G17220	ufm1_only_Down
AT1G18270	ufm1_only_Down
AT1G20910	ufm1_only_Down
AT1G22170	ufm1_only_Down
AT1G22930	ufm1_only_Down
AT1G23280	ufm1_only_Down
AT1G26370	ufm1_only_Down
AT1G26830	ufm1_only_Down
AT1G27752	ufm1_only_Down
AT1G29220	ufm1_only_Down
AT1G30960	ufm1_only_Down
AT1G31410	ufm1_only_Down
AT1G33230	ufm1_only_Down
AT1G33990	ufm1_only_Down
AT1G43860	ufm1_only_Down
AT1G48160	ufm1_only_Down
AT1G48410	ufm1_only_Down
AT1G49040	ufm1_only_Down
AT1G51600	ufm1_only_Down
AT1G53940	ufm1_only_Down
AT1G54360	ufm1_only_Down
AT1G56290	ufm1_only_Down
AT1G60080	ufm1_only_Down
AT1G60620	ufm1_only_Down
AT1G61990	ufm1_only_Down
AT1G63810	ufm1_only_Down
AT1G64040	ufm1_only_Down
AT1G71350	ufm1_only_Down
AT1G73670	ufm1_only_Down
AT1G75510	ufm1_only_Down
AT1G77670	ufm1_only_Down
AT1G78050	ufm1_only_Down
AT1G78580	ufm1_only_Down
AT2G01910	ufm1_only_Down
AT2G03270	ufm1_only_Down
AT2G03870	ufm1_only_Down
AT2G17230	ufm1_only_Down
AT2G17670	ufm1_only_Down
AT2G19470	ufm1_only_Down
AT2G19490	ufm1_only_Down
AT2G20495	ufm1_only_Down
AT2G23540	ufm1_only_Down
AT2G24500	ufm1_only_Down
AT2G24990	ufm1_only_Down
AT2G25270	ufm1_only_Down
AT2G25560	ufm1_only_Down
AT2G25670	ufm1_only_Down
AT2G26280	ufm1_only_Down
AT2G26780	ufm1_only_Down
AT2G27590	ufm1_only_Down
AT2G27840	ufm1_only_Down
AT2G28600	ufm1_only_Down
AT2G29190	ufm1_only_Down
AT2G33730	ufm1_only_Down
AT2G34900	ufm1_only_Down
AT2G35920	ufm1_only_Down
AT2G36870	ufm1_only_Down
AT2G39140	ufm1_only_Down
AT2G45520	ufm1_only_Down
AT2G48110	ufm1_only_Down
AT3G01435	ufm1_only_Down
AT3G01800	ufm1_only_Down
AT3G04560	ufm1_only_Down
AT3G06810	ufm1_only_Down
AT3G07750	ufm1_only_Down
AT3G10270	ufm1_only_Down
AT3G11230	ufm1_only_Down
AT3G11270	ufm1_only_Down
AT3G12580	ufm1_only_Down
AT3G12620	ufm1_only_Down
AT3G13160	ufm1_only_Down
AT3G13224	ufm1_only_Down
AT3G14810	ufm1_only_Down
AT3G15010	ufm1_only_Down
AT3G15220	ufm1_only_Down
AT3G16290	ufm1_only_Down
AT3G18210	ufm1_only_Down
AT3G18390	ufm1_only_Down
AT3G21350	ufm1_only_Down
AT3G21465	ufm1_only_Down
AT3G22400	ufm1_only_Down
AT3G23325	ufm1_only_Down
AT3G26170	ufm1_only_Down
AT3G26490	ufm1_only_Down
AT3G28540	ufm1_only_Down
AT3G43590	ufm1_only_Down
AT3G44750	ufm1_only_Down
AT3G47910	ufm1_only_Down
AT3G48860	ufm1_only_Down
AT3G49100	ufm1_only_Down
AT3G51770	ufm1_only_Down
AT3G58660	ufm1_only_Down
AT3G60190	ufm1_only_Down
AT3G60500	ufm1_only_Down
AT4G00360	ufm1_only_Down
AT4G00930	ufm1_only_Down
AT4G01390	ufm1_only_Down
AT4G02110	ufm1_only_Down
AT4G02150	ufm1_only_Down
AT4G02570	ufm1_only_Down
AT4G03180	ufm1_only_Down
AT4G04320	ufm1_only_Down
AT4G10840	ufm1_only_Down
AT4G11240	ufm1_only_Down
AT4G11560	ufm1_only_Down
AT4G15393	ufm1_only_Down
AT4G16990	ufm1_only_Down
AT4G18040	ufm1_only_Down
AT4G19150	ufm1_only_Down
AT4G22080	ufm1_only_Down
AT4G24690	ufm1_only_Down
AT4G24840	ufm1_only_Down
AT4G27650	ufm1_only_Down
AT4G28820	ufm1_only_Down
AT4G28880	ufm1_only_Down
AT4G30440	ufm1_only_Down
AT4G30935	ufm1_only_Down
AT4G31490	ufm1_only_Down
AT4G33400	ufm1_only_Down
AT4G34660	ufm1_only_Down
AT4G34910	ufm1_only_Down
AT4G37100	ufm1_only_Down
AT4G37510	ufm1_only_Down
AT5G02480	ufm1_only_Down
AT5G02490	ufm1_only_Down
AT5G04600	ufm1_only_Down
AT5G08560	ufm1_only_Down
AT5G13000	ufm1_only_Down
AT5G15120	ufm1_only_Down
AT5G15980	ufm1_only_Down
AT5G17930	ufm1_only_Down
AT5G20930	ufm1_only_Down
AT5G22840	ufm1_only_Down
AT5G26680	ufm1_only_Down
AT5G38890	ufm1_only_Down
AT5G41020	ufm1_only_Down
AT5G41150	ufm1_only_Down
AT5G41220	ufm1_only_Down
AT5G41360	ufm1_only_Down
AT5G41370	ufm1_only_Down
AT5G42060	ufm1_only_Down
AT5G42660	ufm1_only_Down
AT5G46210	ufm1_only_Down
