gene_id	gene_name	AAVS1_CYTO_DMSO_ANS_rep1	AAVS1_CYTO_DMSO_CTRL_rep1	AAVS1_CYTO_DOX_ANS_rep1	AAVS1_CYTO_DOX_CTRL_rep1	AAVS1_NUCL_DMSO_ANS_rep1	AAVS1_NUCL_DMSO_CTRL_rep1	AAVS1_NUCL_DOX_ANS_rep1	AAVS1_NUCL_DOX_CTRL_rep1	UFM1_CYTO_DMSO_ANS_rep1	UFM1_CYTO_DMSO_CTRL_rep1	UFM1_CYTO_DOX_ANS_rep1	UFM1_CYTO_DOX_CTRL_rep1	UFM1_NUCL_DMSO_ANS_rep1	UFM1_NUCL_DMSO_CTRL_rep1	UFM1_NUCL_DOX_ANS_rep1	UFM1_NUCL_DOX_CTRL_rep1	UFM2_CYTO_DMSO_ANS_rep2	UFM2_CYTO_DMSO_CTRL_rep2	UFM2_CYTO_DOX_ANS_rep2	UFM2_CYTO_DOX_CTRL_rep2	UFM2_NUCL_DMSO_ANS_rep2	UFM2_NUCL_DMSO_CTRL_rep2	UFM2_NUCL_DOX_ANS_rep2	UFM2_NUCL_DOX_CTRL_rep2	UFM3_CYTO_DMSO_ANS_rep3	UFM3_CYTO_DMSO_CTRL_rep3	UFM3_CYTO_DOX_ANS_rep3	UFM3_CYTO_DOX_CTRL_rep3	UFM3_NUCL_DMSO_ANS_rep3	UFM3_NUCL_DMSO_CTRL_rep3	UFM3_NUCL_DOX_ANS_rep3	UFM3_NUCL_DOX_CTRL_rep3	SE_AAVS1_NUCL_DMSO_ANS_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep2	SE_AAVS1_NUCL_DMSO_CTRL_rep3	SE_AAVS1_NUCL_DOX_ANS_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep2	SE_AAVS1_NUCL_DOX_CTRL_rep3
ENSG00000175920.18	DOK7	3.284129	2.943796	2.128445	3.375142	15.144378	13.471493	9.182738	14.385417	2.212108	1.939094	1.837177	2.76163	8.541012	9.724865	14.98637	8.471184	1.779956	1.537941	2.542629	2.46009	5.803477	6.936264	12.797502	6.895913	1.105363	1.394206	1.902021	3.035196	14.883353	5.799437	15.908188	8.638242	0	0	0.034147	0	0	0	0	0.039978
ENSG00000175928.6	LRRN1	0	0.012589	0.012641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199935	0	0	0	0	0	0.022781	0	0	0	0.062178	0	0	0	0	0	0	0	0	0
ENSG00000175931.13	UBE2O	12.122824	11.27489	11.062178	12.217134	17.940058	55.060835	22.25202	69.033653	10.595187	9.526636	11.529499	9.703423	13.161217	49.22882	17.976281	43.714694	10.871595	8.478795	11.88559	8.71638	19.717882	53.868632	14.187699	47.798042	9.740313	8.737447	10.000294	8.226757	16.573598	37.705037	18.350149	40.020011	18.337656	56.103912	68.542106	71.616403	22.255845	70.871878	63.782097	61.626956
ENSG00000175938.7	ORAI3	2.806664	2.017132	2.322597	2.428777	1.606395	2.069316	1.673431	2.765393	2.761318	3.130244	3.56832	2.092155	2.191562	2.097821	2.153955	1.4997	1.781025	1.621114	2.805528	2.42321	1.663176	3.352668	3.766777	3.85225	2.329054	3.038159	3.230931	2.666278	2.102109	2.43297	2.347887	2.156852	1.965786	4.121327	5.668106	7.23477	5.128367	3.398163	4.423755	6.223935
ENSG00000175946.9	KLHL38	0.022147	0	0.062135	0	0.363294	0	0.984838	0	0.064691	0	0.087423	0	0.133959	0	0.082588	0	0.034566	0.036947	0	0	0	0	0.151663	0	0.022061	0	0.064702	0	0	0	0.271357	0	0.32095	0	0.073263	0.02608	0.87005	0	0	0.042887
ENSG00000175984.16	DENND2C	0.072288	0.094158	0.01324	0.067211	0	0.458715	0.25953	0.211641	0	0	0.0721	0.124992	0	0.336067	0.37517	0.049099	0.027469	0.035034	0.031364	0.108016	0.373252	0.215561	0	0.612336	0.048801	0	0.032984	0.080388	0.591829	0.037052	0.325615	0.530163	0	0.390308	0.252543	0.086407	0.229156	0.181311	0.124222	0.125324
ENSG00000175985.10	PLEKHD1	0.024932	0	0	0	0	0	0	0.029885	0	0	0	0	0.029043	0	0.030864	0	0	0	0	0	0	0.171312	0.028412	0.091603	0.021487	0	0	0	0.043071	0.395083	0	0.262424	0	0	0.067694	0.016915	0.027058	0.076728	0.019639	0.016005
ENSG00000176009.4	ASCL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176014.13	TUBB6	1.257415	1.283869	1.694678	1.4350020000000001	1.919115	3.548166	1.176182	2.366305	1.610929	1.25615	0.905731	0.825275	0.409739	1.105943	0	3.241657	1.270844	0.988172	0.97258	1.601542	1.393391	1.422516	1.154443	1.382545	1.675539	1.02172	1.274748	1.787611	1.536754	1.059142	1.584031	3.570667	1.70871	3.046927	2.417879	1.764909	1.040344	2.325705	1.543331	1.648482
ENSG00000176018.13	LYSMD3	13.709254	12.150197	11.618269	10.873547	14.794018	7.816977	12.623667	15.232827	14.276447	11.694419	16.082015	14.601848	17.507595	15.119014	22.937576	8.797408	14.362395	11.49469	16.906106	13.711433	17.511461	8.380716	23.227746	12.076486	12.708053	9.804527	14.514554	13.21139	22.750467	8.686824	25.688112	13.640809	13.884266	7.974339	8.223294	9.576829	13.466378	13.968599	9.153677	9.038152
ENSG00000176020.9	AMIGO3	0	0.467176	0	0	0	0	1.826526	2.41902	0	0	0	0	0	3.456334	0	0	0.306579	0	0	0	0.239609	4.048757	3.798462	0	0	0	0	0	3.290302	2.688881	0	0	0	0	1.368235	3.838267	0	1.657708	6.948966	4.391721
ENSG00000176022.7	B3GALT6	8.957907	8.317951	9.250294	8.927464	5.935276	3.393877	6.567944	7.323914	7.030612	10.025116	8.329084	8.23551	4.885238	4.331582	5.658528	4.856616	8.730043	7.989979	8.856196	8.931091	5.434874	4.470974	8.447507	7.393462	8.649341	8.78871	9.026134	8.320545	6.032616	4.945674	5.536834	3.702711	5.482528	2.929501	7.747598	7.496749	5.799653	6.457546	7.348235	7.616944
ENSG00000176024.18	ZNF613	4.887023	3.605563	2.338663	2.446973	3.91389	8.69316	4.80101	4.375457	3.920029	3.096962	3.296622	3.622393	3.687689	7.205494	3.290705	6.780165	3.062769	3.651067	3.835947	5.122893	7.881506	3.948029	3.071671	10.174004	5.031527	3.883528	6.050719	4.468941	4.449014	9.580815	5.018907	6.805465	7.167471	7.2597950000000004	5.433497	7.338485	6.117448	4.445513	8.126814	9.119912
ENSG00000176029.14	C11orf16	0.056129	0	0	0	0.60191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1559	0	0	0	0	0	0	0	0	0.537496	0	0	0	0	0.082716	0	0
ENSG00000176040.14	TMPRSS7	0	0	0	0	0	0	0	0	0.014523	0	0	0	0	0	0.069228	0	0	0	0.029816	0.013989	0	0	0	0	0.016038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176046.9	NUPR1	0.126331	0	0	0	0	0	0.028225	0	0.022318	0	0	0.014205	0	0.06812	0	0	0.00594	0	0	0.666965	0	0	0.026162	0	0.006595	0	0.025797	0.096646	0.019824	0	0.070401	0.11151	0	0.019537	0	0	0	0	0	0
ENSG00000176049.16	JAKMIP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176055.10	MBLAC2	3.60453	5.387898	3.191796	4.208554	3.046935	5.125827	1.954335	5.084418	4.187729	5.101084	4.44636	5.135945	1.131856	5.391991	2.396934	2.797069	4.535235	4.22372	4.869803	4.342371	1.163568	4.94831	1.970212	4.794892	4.844397	4.258492	4.772227	4.651178	1.598026	5.591101	2.002903	5.298108	2.61534	4.582365	5.272732	6.175658	1.767633	4.501281	6.502328	5.717044
