Accession_clean	logFC_col	P_col	logFC_ufm1	P_ufm1	Col0_state	ufm1_state	Dep_Accumulation	Dep_Depletion	external_name	description
AT1G13920	0.48793799105259694	0.05903512889286744	0.02687945942162883	0.9038059503380927	NS	NS	FALSE	FALSE	NA	NA
AT4G14147	0.3064920104757505	0.05936048435586993	-0.09943035743533102	0.4857943488856792	NS	NS	FALSE	FALSE	ARPC4	actin-related protein 2/3 complex 34kDa subunit family / arp2/3 complex 34kDa subunit family
AT4G11820	-0.12966626815407878	0.05940789497944532	0.2436721434823319	0.00424310325356504	NS	Up	TRUE	FALSE	FKP1	Encodes a protein with hydroxymethylglutaryl-CoA synthase activity which was characterized by phenotypical complementation of the S. cerevisiae mutant.
AT4G11820	-0.12966626815407878	0.05940789497944532	0.2436721434823319	0.00424310325356504	NS	Up	TRUE	FALSE	HMGS	Encodes a protein with hydroxymethylglutaryl-CoA synthase activity which was characterized by phenotypical complementation of the S. cerevisiae mutant.
AT4G11820	-0.12966626815407878	0.05940789497944532	0.2436721434823319	0.00424310325356504	NS	Up	TRUE	FALSE	MVA1	Encodes a protein with hydroxymethylglutaryl-CoA synthase activity which was characterized by phenotypical complementation of the S. cerevisiae mutant.
AT5G64870	-0.20042975737192492	0.05946679537908191	-0.02452599048620385	0.7892834082971966	NS	NS	FALSE	FALSE	FLOT3	NA
AT5G54670	-0.5735832661018598	0.05948962516219629	-0.00593390406119809	0.9819248273977442	NS	NS	FALSE	FALSE	ATK3	Encodes a truncated KatC polypeptide (KatC(207-754)), which includes the carboxyl-terminal region of KatC. This was expressed in Escherichia coli and was shown to possess microtubule-stimulated ATPase activity.
AT5G54670	-0.5735832661018598	0.05948962516219629	-0.00593390406119809	0.9819248273977442	NS	NS	FALSE	FALSE	KATC	Encodes a truncated KatC polypeptide (KatC(207-754)), which includes the carboxyl-terminal region of KatC. This was expressed in Escherichia coli and was shown to possess microtubule-stimulated ATPase activity.
AT3G18080	0.16343242150846748	0.05961324465374986	0.00804737605958649	0.9142210265529348	NS	NS	FALSE	FALSE	BGLU44	NA
AT3G22380	-0.4215124369073244	0.05974620388071955	-0.06810088045079965	0.7251455871412043	NS	NS	FALSE	FALSE	TIC	Encodes a nucleus-acting plant-specific clock regulator working close to the central oscillator and affecting the circadian gating of light responses.  Circadian gating is the alteration of circadian phase according to the photoperiod of the entraining day/light cycle and the rhythmic antagonism of light responses in the early subjective night.  TIC differentially regulates CCA1 and PRR9 from LHY, with LHY expression as a dominant genetic target of TIC action.
AT2G36200	0.31514837761091385	0.059810512120166	0.03083122750724243	0.8309356871956285	NS	NS	FALSE	FALSE	NA	NA
AT1G33230	0.4664068116092679	0.05984193702832362	-1.370865737633668	3.7318349957433494e-4	NS	Down	FALSE	TRUE	NA	NA
AT1G21870	0.37605410476871626	0.05989074828874179	-0.20059397992096703	0.2677028267603003	NS	NS	FALSE	FALSE	GONST5	Encodes a Golgi-localized nucleotide-sugar transporter.
AT4G11175	0.28416181427034104	0.05999390504733278	0.186315194929918	0.183205612671776	NS	NS	FALSE	FALSE	NA	NA
AT1G27400	0.1905364505931253	0.06006919460018835	0.21051261649824937	0.04279326506164287	NS	Up	TRUE	FALSE	uL22z	NA
AT4G26610	-0.3896401766387711	0.06011643901059291	-0.10423979065338784	0.5644958040877723	NS	NS	FALSE	FALSE	AGC1-2	NA
AT4G26610	-0.3896401766387711	0.06011643901059291	-0.10423979065338784	0.5644958040877723	NS	NS	FALSE	FALSE	D6PKL1	NA
AT3G60340	-0.3704992518659971	0.06011832606191521	0.1190081506210845	0.4915755180207053	NS	NS	FALSE	FALSE	NA	NA
AT1G15210	-0.13698182367841127	0.06020161658228981	0.2889218585189042	0.00239105207022488	NS	Up	TRUE	FALSE	ABCG35	NA
AT1G15210	-0.13698182367841127	0.06020161658228981	0.2889218585189042	0.00239105207022488	NS	Up	TRUE	FALSE	ATPDR7	NA
AT1G15210	-0.13698182367841127	0.06020161658228981	0.2889218585189042	0.00239105207022488	NS	Up	TRUE	FALSE	PDR7	NA
AT5G62890	0.22055939992901585	0.06020755428564123	-0.07211256726561643	0.4843491466726504	NS	NS	FALSE	FALSE	NA	NA
AT5G42480	-0.1743028952766359	0.06031546122976557	0.1196767714969056	0.16662415464096433	NS	NS	FALSE	FALSE	ARC6	Shows homology to the cyanobacterial cell division protein Ftn2, mutant only has two mesophyll cell chloroplasts.  Protein was localized to a ring at the center of the chloroplasts. Probably involved in functions in the assembly and/or stabilization of the plastid-dividing FtsZ ring, inhibiting FtsZ filament formation in the chloroplast.
