Feature	Group1	Mean1	Group2	Mean2	P_Value
5'SS MaxEnt Score	UFM1_dependent	6.97160655737705	Constitutive	8.20456	4.496184582304742e-21
3'SS MaxEnt Score	UFM1_dependent	7.567049180327868	Constitutive	8.384367999999998	6.083189752365234e-07
5'SS MaxEnt Score	UFM1_independent	7.403209169054442	Constitutive	8.20456	9.928173895422789e-07
3'SS MaxEnt Score	UFM1_independent	7.7015186246418335	Constitutive	8.384367999999998	0.00027223560889206157
Length (bp)	UFM1_dependent	553.0934426229509	Constitutive	6223.1756	9.59166904252324e-119
GC Content	UFM1_dependent	0.5295568984557254	Constitutive	0.45696766483997114	2.1256357086714682e-47
Length (bp)	UFM1_independent	641.028653295129	Constitutive	6223.1756	4.3899947482066e-65
GC Content	UFM1_independent	0.5375989425535624	Constitutive	0.45696766483997114	1.5617553989625287e-30
