Length	GC	MaxEnt5	MaxEnt3	Group
684	0.4093567251461988	9.06	7.71	Constitutive
2641	0.518742900416509	9.24	8.88	Constitutive
29464	0.3855552538691284	10.67	5.48	Constitutive
3649	0.48643463962729516	9.25	10.33	Constitutive
2407	0.46032405484004985	4.88	8.94	Constitutive
111	0.6306306306306306	5.06	9.26	Constitutive
725	0.5144827586206897	6.71	11.19	Constitutive
207	0.7342995169082126	4.44	11.88	Constitutive
813	0.2829028290282903	8.27	5.58	Constitutive
188	0.30319148936170215	4.58	9.18	Constitutive
2934	0.4161554192229039	4.58	9.33	Constitutive
227	0.5726872246696035	0.67	9.09	Constitutive
4447	0.4405217000224871	9.85	10.6	Constitutive
1193	0.5247275775356245	6.35	6.2	Constitutive
149	0.21476510067114093	8.88	10.44	Constitutive
152	0.5131578947368421	10.86	8.91	Constitutive
81	0.345679012345679	5.02	6.84	Constitutive
547	0.3016453382084095	1.76	10.01	Constitutive
5654	0.3547930668553237	8.49	6.64	Constitutive
1092	0.3516483516483517	11.0	6.57	Constitutive
1714	0.40373395565927656	7.54	9.95	Constitutive
86	0.37209302325581395	10.06	9.68	Constitutive
15593	0.3843391265311358	8.56	-13.31	Constitutive
872	0.37270642201834864	9.45	6.94	Constitutive
13500	0.3662222222222222	3.27	11.41	Constitutive
2373	0.4407922461019806	10.47	7.39	Constitutive
1062	0.4293785310734463	6.6	7.99	Constitutive
2780	0.410431654676259	10.06	4.09	Constitutive
720	0.6097222222222223	10.75	4.87	Constitutive
2841	0.4948961633227737	8.37	7.25	Constitutive
318	0.6069182389937107	7.43	10.64	Constitutive
87	0.26436781609195403	9.45	9.4	Constitutive
1069	0.42282507015902715	6.14	8.39	Constitutive
151	0.25165562913907286	7.0	5.53	Constitutive
3065	0.36541598694942906	7.43	8.84	Constitutive
3317	0.4250829062405788	9.25	9.95	Constitutive
1016	0.5856299212598425	10.49	3.61	Constitutive
7184	0.34757795100222716	6.06	6.43	Constitutive
107	0.34579439252336447	8.82	7.47	Constitutive
344	0.6191860465116279	9.2	10.72	Constitutive
321	0.5669781931464174	6.04	11.42	Constitutive
22278	0.42539725289523295	6.74	8.94	Constitutive
1246	0.4157303370786517	10.67	6.21	Constitutive
643	0.3810264385692068	9.09	8.3	Constitutive
1202	0.30948419301164726	2.93	5.89	Constitutive
4426	0.4430637144148215	8.07	10.15	Constitutive
819	0.29304029304029305	9.46	6.13	Constitutive
148	0.5608108108108109	8.68	7.49	Constitutive
3354	0.39087656529516995	9.06	9.42	Constitutive
3539	0.4588866911556937	8.98	8.73	Constitutive
45159	0.38023428331008213	8.38	7.08	Constitutive
4166	0.5021603456553049	10.67	12.57	Constitutive
97149	0.47837857311964094	10.08	11.19	Constitutive
80	0.775	6.9	10.99	Constitutive
331	0.5015105740181269	10.13	13.32	Constitutive
328	0.7926829268292683	10.05	5.52	Constitutive
544	0.53125	8.68	7.73	Constitutive
525	0.30095238095238097	9.85	6.53	Constitutive
970	0.311340206185567	10.22	7.72	Constitutive
1085	0.5262672811059907	8.62	14.74	Constitutive
286	0.5594405594405595	9.14	9.68	Constitutive
994	0.317907444668008	8.35	10.32	Constitutive
4206	0.4322396576319544	10.67	12.86	Constitutive
941	0.4537725823591923	9.72	9.74	Constitutive
3350	0.5170149253731343	8.05	0.52	Constitutive
132	0.30303030303030304	7.25	10.43	Constitutive
228	0.5350877192982456	4.88	9.8	Constitutive
27259	0.4656810594665982	10.67	11.97	Constitutive
1346	0.324665676077266	7.46	9.87	Constitutive
92	0.6413043478260869	7.4	7.75	Constitutive
5591	0.5199427651582901	10.13	5.71	Constitutive
2305	0.4980477223427332	6.43	7.23	Constitutive
866	0.5935334872979214	8.3	7.0	Constitutive
4116	0.48858114674441205	9.72	10.1	Constitutive
292	0.5547945205479452	10.9	11.71	Constitutive
4511	0.3569053424961206	7.44	8.04	Constitutive
73237	0.4344388765241613	9.2	9.48	Constitutive
310	0.5419354838709678	10.86	8.79	Constitutive
3749	0.3056815150706855	9.45	8.4	Constitutive
82	0.8048780487804879	6.64	8.54	Constitutive
345	0.5971014492753624	6.36	10.17	Constitutive
199	0.5025125628140703	4.58	7.21	Constitutive
950	0.42947368421052634	8.55	8.71	Constitutive
97	0.36082474226804123	6.79	7.75	Constitutive
3520	0.42357954545454546	8.94	11.73	Constitutive
833	0.5702280912364946	-3.87	-3.65	Constitutive
13103	0.4034953827367778	11.08	7.2	Constitutive
26146	0.4145949667253117	7.2	6.75	Constitutive
10781	0.4274186068082738	10.28	12.71	Constitutive
89	0.651685393258427	8.69	9.06	Constitutive
274	0.3102189781021898	6.93	4.98	Constitutive
6475	0.4783011583011583	9.79	11.31	Constitutive
5213	0.42566660272395934	10.47	6.14	Constitutive
277	0.38267148014440433	7.66	8.29	Constitutive
797	0.533249686323714	8.23	10.12	Constitutive
982	0.5784114052953157	4.41	8.89	Constitutive
4452	0.5496406109613656	11.08	10.55	Constitutive
156	0.3141025641025641	10.28	7.13	Constitutive
