Length	GC	MaxEnt5	MaxEnt3	Group
805	0.5428571428571428	8.95	11.19	Constitutive
1240	0.5145161290322581	10.1	7.77	Constitutive
2793	0.4865735767991407	10.9	12.86	Constitutive
1180	0.47372881355932206	9.46	12.95	Constitutive
289	0.6262975778546713	-1.5	8.29	Constitutive
6777	0.39176626826029215	10.03	6.49	Constitutive
3938	0.4243270695784662	10.47	8.34	Constitutive
5493	0.3819406517385764	10.03	7.05	Constitutive
886	0.3747178329571106	10.03	11.23	Constitutive
2030	0.29014778325123153	7.07	3.85	Constitutive
314	0.697452229299363	7.21	7.62	Constitutive
3561	0.3299634934007301	9.82	4.38	Constitutive
6923	0.5113390148779431	10.67	7.66	Constitutive
56630	0.4446053328624404	9.16	10.42	Constitutive
1385	0.524187725631769	7.39	4.38	Constitutive
364	0.6071428571428571	3.78	8.35	Constitutive
4045	0.40296662546353523	8.76	7.54	Constitutive
1051	0.5642245480494766	-0.35	6.04	Constitutive
218	0.5504587155963303	6.84	6.01	Constitutive
11107	0.47690645538849374	8.16	7.33	Constitutive
1728	0.41435185185185186	10.77	5.97	Constitutive
89	0.5393258426966292	9.73	8.05	Constitutive
90	0.7444444444444445	8.99	8.52	Constitutive
722	0.43213296398891965	10.1	-4.05	Constitutive
1423	0.38791286015460297	5.63	9.62	Constitutive
826	0.5641646489104116	10.43	5.11	Constitutive
942	0.7250530785562632	7.54	7.57	Constitutive
502	0.5577689243027888	8.7	9.36	Constitutive
166	0.4578313253012048	8.68	10.58	Constitutive
194	0.5463917525773195	10.93	7.49	Constitutive
1728	0.328125	9.33	11.4	Constitutive
3838	0.5914538822303282	10.38	11.46	Constitutive
235	0.5148936170212766	8.76	8.64	Constitutive
15345	0.3850114043662431	10.57	8.61	Constitutive
112	0.8035714285714286	9.35	7.15	Constitutive
1442	0.37309292649098474	6.77	11.04	Constitutive
22160	0.5595216606498195	10.08	11.97	Constitutive
4495	0.38553948832035595	7.23	10.22	Constitutive
405	0.6024691358024692	10.67	9.52	Constitutive
18525	0.39487179487179486	9.6	9.53	Constitutive
84	0.35714285714285715	9.07	5.69	Constitutive
252	0.5119047619047619	-3.71	9.5	Constitutive
3823	0.5090243264452001	8.99	10.74	Constitutive
339	0.37168141592920356	0.52	-0.2	Constitutive
3133	0.4589849984040855	10.45	6.06	Constitutive
970	0.3371134020618557	6.36	5.85	Constitutive
608	0.37993421052631576	7.58	11.58	Constitutive
1952	0.4293032786885246	10.13	8.42	Constitutive
615	0.4292682926829268	10.86	8.82	Constitutive
1103	0.5539437896645513	9.6	12.27	Constitutive
2485	0.4152917505030181	8.34	9.61	Constitutive
2451	0.3427172582619339	8.04	2.48	Constitutive
2475	0.33414141414141413	6.14	8.28	Constitutive
902	0.48004434589800443	10.29	6.85	Constitutive
611	0.3011456628477905	8.07	9.32	Constitutive
763	0.3722149410222805	9.25	7.56	Constitutive
171	0.6900584795321637	10.1	10.03	Constitutive
1340	0.5626865671641791	9.13	9.3	Constitutive
7334	0.4391873466048541	10.13	9.48	Constitutive
2489	0.5439935717155484	9.27	10.6	Constitutive
3607	0.373163293595786	2.49	6.95	Constitutive
118	0.6186440677966102	10.28	7.63	Constitutive
222	0.6396396396396397	7.93	10.46	Constitutive
1789	0.4773616545556177	7.81	8.61	Constitutive
498	0.4357429718875502	7.96	6.19	Constitutive
2014	0.36792452830188677	10.86	10.59	Constitutive
1136	0.5915492957746479	4.41	11.62	Constitutive
1880	0.4047872340425532	9.88	4.35	Constitutive
1622	0.4081381011097411	8.88	4.0	Constitutive
2411	0.5238490253007051	9.16	4.43	Constitutive
68	0.6470588235294118	8.41	1.56	Constitutive
2294	0.41586748038360943	8.23	7.79	Constitutive
773	0.5601552393272963	7.22	6.71	Constitutive
10442	0.4567132733192875	11.01	5.37	Constitutive
2919	0.5196985268927715	10.28	4.12	Constitutive
27275	0.3804216315307058	8.95	8.93	Constitutive
73	0.7123287671232876	4.66	3.64	Constitutive
770	0.5844155844155844	-11.68	-4.2	Constitutive
876	0.613013698630137	9.05	11.58	Constitutive
1592	0.4472361809045226	0.46	8.37	Constitutive
113	0.6283185840707964	9.35	8.57	Constitutive
1617	0.3370439084724799	6.52	9.15	Constitutive
1538	0.3433029908972692	9.14	7.32	Constitutive
