goID	Pvalue	FoldEnrch	test_count	bkgd_count	expected
GO:0140297	0.37546	2.1366666666666663	1	27	0.46801872074883
GO:0009653	0.33085	2.508260869565217	1	23	0.39868261397122556
GO:0017053	0.12954	7.211249999999999	1	8	0.1386722135552089
GO:0022008	0.21706	4.1207142857142856	1	14	0.24267637372161555
GO:0060319	0.01733	57.68999999999999	1	1	0.017334026694401112
GO:0001755	0.162	5.769	1	10	0.17334026694401108
GO:0140713	0.05157	19.229999999999997	1	3	0.05200208008320333
GO:0007281	0.0999	9.614999999999998	1	6	0.10400416016640666
GO:0008781	0.01733	57.68999999999999	1	1	0.017334026694401112
GO:0006054	0.01733	57.68999999999999	1	1	0.017334026694401112
GO:0006814	0.34369	2.4037499999999996	1	24	0.41601664066562666
GO:0030838	0.21614	4.1207142857142856	1	14	0.24267637372161555
GO:0016477	0.46054	1.6482857142857141	1	35	0.6066909343040389
GO:0031258	0.03458	28.844999999999995	1	2	0.034668053388802224
GO:0000930	0.11445	8.241428571428571	1	7	0.12133818686080777
GO:0016197	0.33307	2.508260869565217	1	23	0.39868261397122556
GO:0032418	0.00765	14.422499999999998	2	8	0.1386722135552089
GO:0043015	0.20559	4.437692307692307	1	13	0.22534234702721442
GO:0000221	0.1902	4.807499999999999	1	12	0.20800832033281333
GO:0046961	0.34452	2.4037499999999996	1	24	0.41601664066562666
GO:1902600	0.62151	1.0489090909090908	1	55	0.9533714681920611
GO:0030117	0.40708	1.923	1	30	0.5200208008320333
GO:0043495	0.16166	5.769	1	10	0.17334026694401108
GO:0016747	0.59955	1.1094230769230768	1	52	0.9013693881088577
GO:0015629	0.61348	1.0683333333333331	1	54	0.93603744149766
GO:0031941	0.09834	9.614999999999998	1	6	0.10400416016640666
GO:1904262	0.24375	3.6056249999999994	1	16	0.2773444271104178
GO:0042149	0.17293	5.244545454545454	1	11	0.1906742936384122
GO:0000149	0.34095	2.4037499999999996	1	24	0.41601664066562666
GO:0016079	0.03434	28.844999999999995	1	2	0.034668053388802224
