Basic_Density	Proline_Density	Net_Charge_Density	Rare_Codon_Density	Hydrophobicity	Poly_Basic	Poly_Pro	Poly_Gly	DiPeptide_Slow	Group
0.10303030303030303	0.08787878787878788	0.045454545454545456	0.00909090909090909	-0.19242424242424241	0	0	1	1	UFM1_dependent
0.09210526315789473	0.10526315789473684	0.02631578947368421	0.02631578947368421	-0.04868421052631577	0	0	0	1	UFM1_dependent
0.0851063829787234	0.0851063829787234	0.0425531914893617	0.0425531914893617	0.15106382978723404	0	0	0	1	UFM1_dependent
0.1	0.075	0.05	0.025	0.1374999999999999	0	0	0	0	UFM1_dependent
0.12941176470588237	0.16470588235294117	0.03529411764705882	0.03529411764705882	-0.6800000000000002	0	0	0	1	UFM1_dependent
0.10666666666666667	0.03333333333333333	0.08	0.006666666666666667	0.6259999999999998	0	0	0	0	UFM1_dependent
0.15625	0.078125	0.0625	0.046875	-0.6359375000000004	0	0	0	0	UFM1_dependent
0.1346153846153846	0.1346153846153846	0.057692307692307696	0.0	-0.7769230769230769	0	0	0	1	UFM1_dependent
0.0958904109589041	0.0821917808219178	0.0136986301369863	0.0136986301369863	0.17534246575342463	0	0	0	1	UFM1_dependent
0.06976744186046512	0.023255813953488372	0.023255813953488372	0.06976744186046512	0.8674418604651164	0	0	0	1	UFM1_dependent
0.08880994671403197	0.0763765541740675	0.047957371225577264	0.023090586145648313	0.0525754884547069	0	1	0	1	UFM1_dependent
0.07649513212795549	0.13351877607788595	0.031988873435326845	0.011126564673157162	0.15243393602225286	0	1	0	1	UFM1_dependent
0.15384615384615385	0.10256410256410256	0.07692307692307693	0.02564102564102564	-0.676923076923077	0	0	0	1	UFM1_dependent
0.16853932584269662	0.14606741573033707	0.15730337078651685	0.07865168539325842	-0.6921348314606744	0	1	0	1	UFM1_dependent
0.06666666666666667	0.06666666666666667	0.03333333333333333	0.03333333333333333	1.02	0	0	0	0	UFM1_dependent
0.09090909090909091	0.1414141414141414	0.020202020202020204	0.010101010101010102	0.1343434343434344	0	0	0	1	UFM1_dependent
0.13043478260869565	0.21739130434782608	0.08695652173913043	0.043478260869565216	-0.8086956521739131	0	0	0	1	UFM1_dependent
0.14805825242718446	0.21359223300970873	-0.0048543689320388345	0.02912621359223301	-1.182038834951457	0	0	0	1	UFM1_dependent
0.11654135338345864	0.09774436090225563	0.07142857142857142	0.03759398496240601	-0.21879699248120318	0	1	0	1	UFM1_dependent
0.2	0.18	0.1	0.0	-1.1780000000000002	0	1	0	1	UFM1_dependent
0.09090909090909091	0.030303030303030304	0.06060606060606061	0.0	0.1712121212121212	0	0	0	0	UFM1_dependent
0.14705882352941177	0.049019607843137254	0.029411764705882353	0.049019607843137254	-0.42647058823529393	0	0	0	1	UFM1_dependent
0.10638297872340426	0.10638297872340426	-0.0425531914893617	0.0	-0.20000000000000004	0	0	0	0	UFM1_dependent
0.1423076923076923	0.07692307692307693	0.08461538461538462	0.023076923076923078	-0.5130769230769233	1	0	0	1	UFM1_dependent
0.07142857142857142	0.14285714285714285	0.07142857142857142	0.0	0.8071428571428572	0	0	0	1	UFM1_dependent
0.08695652173913043	0.13043478260869565	-0.034782608695652174	0.008695652173913044	-0.168695652173913	0	1	0	1	UFM1_dependent
0.14814814814814814	0.07407407407407407	0.1111111111111111	0.0	0.31111111111111117	0	0	0	0	UFM1_dependent
0.06896551724137931	0.10344827586206896	0.034482758620689655	0.0	0.2551724137931034	0	0	0	1	UFM1_dependent
0.1590909090909091	0.09090909090909091	0.09090909090909091	0.022727272727272728	-0.243181818181818	0	0	0	0	UFM1_dependent
