Length	GC	MaxEnt5	MaxEnt3	Group
124	0.3467741935483871	6.63	8.83	Constitutive
3034	0.494726433750824	7.82	9.87	Constitutive
977	0.4923234390992835	7.65	9.41	Constitutive
8850	0.3840677966101695	9.8	8.03	Constitutive
1629	0.37446286065070594	9.6	6.42	Constitutive
2061	0.3153808830664726	8.76	8.86	Constitutive
5905	0.500592718035563	7.33	9.45	Constitutive
1020	0.403921568627451	7.92	9.21	Constitutive
1253	0.5067837190742218	2.41	9.39	Constitutive
2092	0.515774378585086	4.51	5.38	Constitutive
528	0.2556818181818182	9.81	6.45	Constitutive
25986	0.37762641422304316	8.54	9.44	Constitutive
863	0.5388180764774044	8.91	7.95	Constitutive
721	0.6629680998613038	7.77	10.71	Constitutive
333	0.5975975975975976	2.28	6.58	Constitutive
148	0.6013513513513513	7.68	6.97	Constitutive
470	0.4276595744680851	10.13	10.05	Constitutive
714	0.28711484593837533	8.99	10.07	Constitutive
529	0.6351606805293005	10.28	5.78	Constitutive
51945	0.37193185099624604	8.72	6.82	Constitutive
2831	0.45319675026492406	10.51	5.71	Constitutive
48566	0.36840588065724994	6.84	9.19	Constitutive
1257	0.5568814638027049	8.7	12.76	Constitutive
1230	0.5642276422764227	10.1	7.21	Constitutive
841	0.558858501783591	9.6	6.78	Constitutive
58573	0.38700425110545816	9.78	5.86	Constitutive
5940	0.40723905723905723	9.0	8.72	Constitutive
27066	0.404418828049952	8.27	10.24	Constitutive
1187	0.485256950294861	9.8	11.87	Constitutive
4002	0.39730134932533734	10.77	9.67	Constitutive
1261	0.5218080888183981	7.56	10.93	Constitutive
451	0.43237250554323725	9.6	12.07	Constitutive
1730	0.4913294797687861	9.65	6.39	Constitutive
9801	0.33323130292827263	7.4	7.37	Constitutive
146	0.2534246575342466	7.3	-1.55	Constitutive
1614	0.5	5.67	1.93	Constitutive
501	0.3033932135728543	7.87	7.2	Constitutive
2449	0.38505512454062885	10.13	10.39	Constitutive
1041	0.33429394812680113	8.88	9.42	Constitutive
5735	0.38448125544899736	8.14	9.85	Constitutive
5552	0.4211095100864553	-1.65	7.01	Constitutive
3835	0.38696219035202084	10.57	7.03	Constitutive
31625	0.3872569169960474	7.31	8.85	Constitutive
5567	0.3829710795760733	9.79	5.88	Constitutive
263	0.33840304182509506	8.4	6.91	Constitutive
1199	0.4970809007506255	8.68	7.4	Constitutive
519	0.42196531791907516	10.07	10.45	Constitutive
6012	0.3567864271457086	10.67	8.92	Constitutive
4618	0.3679081853616284	7.84	0.44	Constitutive
3002	0.6189207195203198	5.99	9.34	Constitutive
973	0.37923946557040084	7.54	12.28	Constitutive
1428	0.5168067226890757	7.88	12.04	Constitutive
81	0.5061728395061729	9.26	5.22	Constitutive
7597	0.35171778333552717	9.79	5.21	Constitutive
1205	0.5136929460580912	9.25	8.59	Constitutive
349	0.2636103151862464	8.01	10.41	Constitutive
3007	0.3112736947123379	6.6	9.14	Constitutive
859	0.33993015133876603	6.44	9.76	Constitutive
1130	0.4584070796460177	10.03	8.01	Constitutive
12727	0.4880961734894319	8.27	10.36	Constitutive
888	0.5709459459459459	6.63	4.62	Constitutive
125	0.592	10.13	8.18	Constitutive
6708	0.33050089445438285	8.65	5.65	Constitutive
497	0.5653923541247485	6.55	7.42	Constitutive
