Feature	Group1	Mean1	Group2	Mean2	P_Value
5'SS MaxEnt Score	UFM1_dependent	6.935891304347827	Constitutive	8.216616	4.0961288644928026e-20
3'SS MaxEnt Score	UFM1_dependent	7.646673913043479	Constitutive	8.44758	2.137147256618103e-06
5'SS MaxEnt Score	UFM1_independent	7.192690763052209	Constitutive	8.216616	1.5089532026316564e-07
3'SS MaxEnt Score	UFM1_independent	7.683413654618474	Constitutive	8.44758	6.677841962263998e-05
Length (bp)	UFM1_dependent	506.6565217391304	Constitutive	5994.3428	7.7994574353179375e-109
GC Content	UFM1_dependent	0.5386145468230741	Constitutive	0.45337243836013075	1.7090517640149642e-49
Length (bp)	UFM1_independent	398.64658634538154	Constitutive	5994.3428	5.505647856819534e-73
GC Content	UFM1_independent	0.5710548667854751	Constitutive	0.45337243836013075	1.1778699871839248e-48
