feature	odds_ratio	pval	log2_odds	count_in_set	set_size	bg_count	bg_size	comparison	fdr
SignalP	0.47040902119731853	1.2334844457159816e-8	-1.0880123673834963	54	562	3646	20049	Lost_vs_Genome	1.1101360011443834e-7
TMHMM	0.6168157210023189	3.005491727585723e-6	-0.6970885586826538	111	562	5669	20049	Lost_vs_Genome	1.3524712774135753e-5
NCOILS	1.4653908852593467	6.182606147341187e-5	0.5512855472455394	172	562	4680	20049	Lost_vs_Genome	1.8547818442023558e-4
SignalP	0.7439016286572926	0.0663870849079357	-0.426816238650031	45	316	3646	20049	Preserved_vs_Genome	0.09958062736190354
TMHMM	0.8006039768724187	0.10147555423084768	-0.3208393127868587	76	316	5669	20049	Preserved_vs_Genome	0.1304685697253756
NCOILS	1.4420457560020015	0.0038640872202132955	0.5281169419087564	96	316	4680	20049	Preserved_vs_Genome	0.008694196245479915
SignalP	0.6293174617593473	0.05201027649664674	-0.6681401207615876	54	562	90	811	Lost_vs_Preserved	0.09361849769396413
TMHMM	0.7755539606175841	0.16293296000510943	-0.36670093192761577	111	562	171	811	Lost_vs_Preserved	0.18329958000574811
NCOILS	1.0231529224655873	0.9341485007924745	0.03302178926186755	172	562	247	811	Lost_vs_Preserved	0.9341485007924745
