class	label	comparison	bin_index	bin_start	bin_end	bin_center	n_UFM1_dependent_dPSI_positive_in_bin	n_UFM1_dependent_dPSI_positive_out_bin	n_UFM1_independent_dPSI_positive_in_bin	n_UFM1_independent_dPSI_positive_out_bin	odds_ratio_UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	p_value	q_value	star	enriched_dataset
Inframe_CDS_change	Inframe_CDS_change	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	1	0.0	0.2	0.1	24	140	8	83	1.7785714285714285	0.23652430992526355	0.47699266115954386	ns	UFM1_dependent_dPSI_positive
Inframe_CDS_change	Inframe_CDS_change	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	2	0.2	0.4	0.30000000000000004	30	134	11	80	1.6282225237449117	0.21739808520589388	0.47699266115954386	ns	UFM1_dependent_dPSI_positive
Inframe_CDS_change	Inframe_CDS_change	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	3	0.4	0.6000000000000001	0.5	40	124	24	67	0.9005376344086021	0.7639553439275227	0.7639553439275227	ns	UFM1_independent_dPSI_positive
Inframe_CDS_change	Inframe_CDS_change	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	4	0.6000000000000001	0.8	0.7000000000000001	36	128	26	65	0.703125	0.2861955966957263	0.47699266115954386	ns	UFM1_independent_dPSI_positive
Inframe_CDS_change	Inframe_CDS_change	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	5	0.8	1.0	0.9	34	130	22	69	0.8202797202797203	0.5313902049610255	0.6642377562012819	ns	UFM1_independent_dPSI_positive
