class	label	comparison	bin_index	bin_start	bin_end	bin_center	n_UFM1_dependent_dPSI_positive_in_bin	n_UFM1_dependent_dPSI_positive_out_bin	n_UFM1_independent_dPSI_positive_in_bin	n_UFM1_independent_dPSI_positive_out_bin	odds_ratio_UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	p_value	q_value	star	enriched_dataset
Frameshift_no_NMD	non_NMD	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	1	0.0	0.2	0.1	1	6	0	1	inf	0.9999999999999999	1.0	ns	NA
Frameshift_no_NMD	non_NMD	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	2	0.2	0.4	0.30000000000000004	3	4	0	1	inf	1.0	1.0	ns	NA
Frameshift_no_NMD	non_NMD	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	3	0.4	0.6000000000000001	0.5	2	5	0	1	inf	0.9999999999999993	1.0	ns	NA
Frameshift_no_NMD	non_NMD	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	4	0.6000000000000001	0.8	0.7000000000000001	1	6	0	1	inf	0.9999999999999999	1.0	ns	NA
Frameshift_no_NMD	non_NMD	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	5	0.8	1.0	0.9	0	7	1	0	0.0	0.12499999999999997	0.6249999999999999	ns	UFM1_independent_dPSI_positive
