class	label	comparison	bin_index	bin_start	bin_end	bin_center	n_UFM1_dependent_dPSI_positive_in_bin	n_UFM1_dependent_dPSI_positive_out_bin	n_UFM1_independent_dPSI_positive_in_bin	n_UFM1_independent_dPSI_positive_out_bin	odds_ratio_UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	p_value	q_value	star	enriched_dataset
Start_Stop_disruption	Start_Stop_disruption	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	1	0.0	0.2	0.1	12	36	1	29	9.666666666666666	0.013009479215667367	0.032523698039168415	*	UFM1_dependent_dPSI_positive
Start_Stop_disruption	Start_Stop_disruption	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	2	0.2	0.4	0.30000000000000004	9	39	1	29	6.6923076923076925	0.07898175208917474	0.1316362534819579	ns	UFM1_dependent_dPSI_positive
Start_Stop_disruption	Start_Stop_disruption	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	3	0.4	0.6000000000000001	0.5	3	45	4	26	0.43333333333333335	0.41903712920292197	0.5237964115036524	ns	UFM1_independent_dPSI_positive
Start_Stop_disruption	Start_Stop_disruption	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	4	0.6000000000000001	0.8	0.7000000000000001	7	41	4	26	1.1097560975609757	0.9999999999999177	0.9999999999999177	ns	UFM1_dependent_dPSI_positive
Start_Stop_disruption	Start_Stop_disruption	UFM1_dependent_dPSI_positive_vs_UFM1_independent_dPSI_positive	5	0.8	1.0	0.9	17	31	20	10	0.27419354838709675	0.010270365167427102	0.032523698039168415	*	UFM1_independent_dPSI_positive
