class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,SRSF5_count,SRSF5_density,SRSF11_count,SRSF11_density,SRSF1_count,SRSF1_density,SRSF2_count,SRSF2_density,SRSF7_count,SRSF7_density,PCBP2_count,PCBP2_density,PCBP2_long_count,PCBP2_long_density,PCBP3_count,PCBP3_density,HNRNPH1_count,HNRNPH1_density,HNRNPF_count,HNRNPF_density,HNRNPA2B1_count,HNRNPA2B1_density,RBM25_count,RBM25_density,RBM6_count,RBM6_density,RBM39_count,RBM39_density,RBM24_count,RBM24_density,PTBP1_count,PTBP1_density,ESRP1_count,ESRP1_density,SS5_score,SS3_score,BP_count,rel_position,is_first_intron,upstream_exon_GC,upstream_exon_length,codon_optimality,decoy_5ss_count,decoy_3ss_count,decoy_total,SS5_accessibility,SS3_accessibility
0,475,0.5557894736842105,0.26666666666666666,4,2,4.2105263157894735,1,2.1052631578947367,2,4.2105263157894735,3,6.315789473684211,0,0,0,0,5,10.526315789473685,0,0,0,0,0,0,0,0,2,4.2105263157894735,0,0,0,0,1,2.1052631578947367,0,0,0,0,0,0,3,2.2222222222222223,0,0,1,0.4,50,0.625,5,21,26,0.3333333333333333,0.34782608695652173
0,527,0.57874762808349145,0.3333333333333333,4,3,5.692599620493358,3,5.692599620493358,1,1.8975332068311195,2,3.795066413662239,0,0,0,0,14,26.56546489563567,0,0,0,0,2,3.795066413662239,0,0,1,1.8975332068311195,1,1.8975332068311195,0,0,3,5.692599620493358,0,0,0,0,3,5.692599620493358,3.3333333333333335,3.111111111111111,0,0,1,0.56,50,0.375,8,19,27,0.1111111111111111,0.4347826086956522
0,354,0.4689265536723164,0.4,5,4,11.299435028248588,0,0,0,0,1,2.824858757062147,0,0,0,0,4,11.299435028248588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14.124293785310735,0,0,1,2.824858757062147,0,0,5.333333333333334,4.444444444444445,0,0,1,0.34,50,0.625,11,13,24,0,0.5652173913043478
0,1638,0.41452991452991456,0.26666666666666666,7,9,5.4945054945054945,0,0,2,1.221001221001221,5,3.0525030525030528,0,0,0,0,12,7.326007326007327,0,0,1,0.6105006105006106,0,0,0,0,3,1.8315018315018317,0,0,0,0,2,1.221001221001221,1,0.6105006105006106,2,1.221001221001221,0,0,4.333333333333333,3.111111111111111,0,0,1,0.32,50,0.75,9,10,19,0.5555555555555556,0.5652173913043479
0,337,0.6112759643916914,0.3333333333333333,3,0,0,2,5.9347181008902075,0,0,0,0,0,0,0,0,5,14.836795252225519,0,0,0,0,1,2.9673590504451037,0,0,0,0,1,2.9673590504451037,0,0,0,0,0,0,0,0,2,5.9347181008902075,1.6666666666666667,2.2222222222222223,0,0,1,0.68,50,0.25,11,17,28,0.3333333333333333,0.5217391304347826
0,802,0.36783042394014964,0.5333333333333333,5,5,6.234413965087281,2,2.4937655860349124,0,0,0,0,0,0,0,0,5,6.234413965087281,0,0,1,1.2468827930174562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,3.111111111111111,0,0,1,0.36,50,0.5625,7,14,21,0.3333333333333333,0.5217391304347826
0,530,0.6471698113207547,0.13333333333333333,2,5,9.433962264150942,2,3.773584905660377,1,1.8867924528301885,2,3.773584905660377,0,0,0,0,14,26.41509433962264,0,0,3,5.660377358490566,1,1.8867924528301885,0,0,2,3.773584905660377,2,3.773584905660377,0,0,6,11.320754716981131,1,1.8867924528301885,3,5.660377358490566,1,1.8867924528301885,5,2.6666666666666665,1,0,1,0.68,50,0.375,7,17,24,0.3333333333333333,0.4782608695652174
0,1624,0.5123152709359606,0.6,7,11,6.773399014778325,6,3.694581280788177,1,0.6157635467980295,4,2.463054187192118,0,0,0,0,31,19.088669950738915,0,0,3,1.8472906403940885,0,0,0,0,1,0.6157635467980295,1,0.6157635467980295,1,0.6157635467980295,9,5.541871921182266,0,0,6,3.694581280788177,1,0.6157635467980295,2,4.444444444444445,0,0,1,0.52,50,0.25,6,13,19,0.1111111111111111,0.17391304347826086
0,419,0.5847255369928401,0.4666666666666667,3,1,2.3866348448687353,0,0,0,0,2,4.773269689737471,0,0,0,0,8,19.093078758949883,0,0,2,4.773269689737471,0,0,0,0,2,4.773269689737471,0,0,1,2.3866348448687353,1,2.3866348448687353,2,4.773269689737471,0,0,2,4.773269689737471,2.666666666666667,4.444444444444445,0,0,1,0.46,50,0.4375,5,16,21,0.3333333333333333,0.47826086956521735
0,1036,0.611969111969112,0.6,4,2,1.9305019305019304,9,8.687258687258687,2,1.9305019305019304,8,7.722007722007722,0,0,0,0,34,32.818532818532816,0,0,1,0.9652509652509652,1,0.9652509652509652,0,0,3,2.8957528957528957,1,0.9652509652509652,1,0.9652509652509652,9,8.687258687258687,2,1.9305019305019304,3,2.8957528957528957,1,0.9652509652509652,2,5.777777777777778,1,0,1,0.54,50,0.5625,6,14,20,0.2222222222222222,0.17391304347826086
0,206,0.6990291262135923,0.6,3,1,4.8543689320388355,1,4.8543689320388355,0,0,1,4.8543689320388355,0,0,0,0,8,38.834951456310684,0,0,0,0,0,0,0,0,1,4.8543689320388355,0,0,0,0,1,4.8543689320388355,1,4.8543689320388355,0,0,0,0,4.333333333333334,5.777777777777778,0,0,1,0.78,50,0.3125,10,16,26,0.1111111111111111,0.34782608695652173
0,538,0.6412639405204461,0.26666666666666666,5,1,1.858736059479554,2,3.717472118959108,1,1.858736059479554,2,3.717472118959108,0,0,0,0,16,29.739776951672862,0,0,1,1.858736059479554,1,1.858736059479554,0,0,2,3.717472118959108,3,5.5762081784386615,0,0,4,7.434944237918216,1,1.858736059479554,0,0,1,1.858736059479554,2,1.7777777777777777,0,0,1,0.68,50,0.375,11,16,27,0.3333333333333333,0.4347826086956522
0,292,0.613013698630137,0.26666666666666666,5,0,0,2,6.849315068493151,0,0,1,3.4246575342465757,0,0,0,0,10,34.24657534246575,0,0,1,3.4246575342465757,0,0,0,0,0,0,1,3.4246575342465757,0,0,2,6.849315068493151,0,0,0,0,1,3.4246575342465757,8.333333333333334,1.7777777777777777,0,0,1,0.62,50,0.3125,11,16,27,0.5555555555555556,0.4347826086956522
