EventType	n_WT_sig	n_preserved_ufm1	n_lost_ufm1	n_not_covered_ufm1	check_sum
A3SS	628	127	467	34	628
A5SS	479	111	350	18	479
MXE	579	77	483	19	579
RI	946	345	587	14	946
SE	1261	190	969	102	1261
