Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Eimeria tenella	5802	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/545/GCA_000499545.1_ETH001/GCA_000499545.1_ETH001_genomic.fna.gz	UP000030747_5802	Uniprot
Emiliania huxleyi	2903	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/725/GCA_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0/GCA_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0_genomic.fna.gz	UP000013827_2903	Uniprot
Encephalitozoon cuniculi GB-M1	284813	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/225/GCA_000091225.2_ASM9122v2/GCA_000091225.2_ASM9122v2_genomic.fna.gz	UP000000819_284813	Uniprot
Entamoeba histolytica	5759	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/925/GCA_000208925.2_JCVI_ESG2_1.0/GCA_000208925.2_JCVI_ESG2_1.0_genomic.fna.gz	UP000001926_5759	Uniprot
Entamoeba invadens IP1	370355	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/505/GCA_000330505.1_EIA2_v2/GCA_000330505.1_EIA2_v2_genomic.fna.gz	UP000014680_370355	Uniprot
Fistulifera solaris	1519565	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/217/885/GCA_002217885.1_Fsol_1.0/GCA_002217885.1_Fsol_1.0_genomic.fna.gz	UP000198406_1519565	Uniprot
Fonticula alba	691883	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/388/065/GCA_000388065.2_Font_alba_ATCC_38817_V2/GCA_000388065.2_Font_alba_ATCC_38817_V2_genomic.fna.gz	UP000030693_691883	Uniprot
Fragilariopsis cylindrus CCMP1102	635003	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/085/GCA_001750085.1_Fracy1/GCA_001750085.1_Fracy1_genomic.fna.gz	UP000095751_635003	Uniprot
Galdieria sulphuraria	130081	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/285/GCA_000341285.1_ASM34128v1/GCA_000341285.1_ASM34128v1_genomic.fna.gz	UP000030680_130081	Uniprot
Giardia lamblia ATCC 50803	184922	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/435/GCA_000002435.1_GL2/GCA_000002435.1_GL2_genomic.fna.gz	UP000001548_184922	Uniprot
