Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Tetrahymena thermophila SB210	312017	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/635/GCA_000189635.1_JCVI-TTA1-2.2/GCA_000189635.1_JCVI-TTA1-2.2_genomic.fna.gz	UP000009168_312017	Uniprot
Thalassiosira oceanica	159749	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/195/GCA_000296195.2_ThaOc_1.0/GCA_000296195.2_ThaOc_1.0_genomic.fna.gz	UP000266841_159749	Uniprot
Thalassiosira pseudonana	35128	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/405/GCA_000149405.2_ASM14940v2/GCA_000149405.2_ASM14940v2_genomic.fna.gz	UP000001449_35128	Uniprot
Thecamonas trahens ATCC 50062	461836	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/142/905/GCA_000142905.1_TheTra_May2010/GCA_000142905.1_TheTra_May2010_genomic.fna.gz	UP000054408_461836	Uniprot
Theileria parva	5875	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/365/GCA_000165365.1_ASM16536v1/GCA_000165365.1_ASM16536v1_genomic.fna.gz	UP000001949_5875	Uniprot
Tieghemostelium lacteum	361077	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/155/GCA_001606155.1_ASM160615v1/GCA_001606155.1_ASM160615v1_genomic.fna.gz	UP000076078_361077	Uniprot
Togula jolla	285029	Transcriptome	MMETSP	https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153	EP00448	EukProt
Toxoplasma gondii VEG	432359	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/015/GCA_000150015.2_TGVEG/GCA_000150015.2_TGVEG_genomic.fna.gz	UP000002226_432359	Uniprot
Trichomonas vaginalis	5722	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/825/GCA_000002825.1_ASM282v1/GCA_000002825.1_ASM282v1_genomic.fna.gz	UP000001542_5722	Uniprot
Trichoplax adhaerens	10228	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/275/GCA_000150275.1_v1.0/GCA_000150275.1_v1.0_genomic.fna.gz	UP000009022_10228	Uniprot
Trypanosoma brucei brucei TREU927	185431	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/445/GCA_000002445.1_ASM244v1/GCA_000002445.1_ASM244v1_genomic.fna.gz	UP000008524_185431	Uniprot
Ustilago maydis 521	237631	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0/GCA_000328475.2_Umaydis521_2.0_genomic.fna.gz	UP000000561_237631	Uniprot
Vitis vinifera	29760	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/745/GCA_000003745.2_12X/GCA_000003745.2_12X_genomic.fna.gz	UP000009183_29760	Uniprot
Vitrella brassicaformis CCMP3155	1169540	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/179/505/GCA_001179505.1_Vbrassicaformis/GCA_001179505.1_Vbrassicaformis_genomic.fna.gz	UP000041254_1169540	Uniprot
Volvox carteri f. nagariensis	3068	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/455/GCA_000143455.1_v1.0/GCA_000143455.1_v1.0_genomic.fna.gz	UP000001058_3068	Uniprot
Xenopus laevis	8355	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/975/GCA_001663975.1_Xenopus_laevis_v2/GCA_001663975.1_Xenopus_laevis_v2_genomic.fna.gz	UP000186698_8355	Uniprot
Zea mays	4577	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/005/GCA_000005005.6_B73_RefGen_v4/GCA_000005005.6_B73_RefGen_v4_genomic.fna.gz	UP000007305_4577	Uniprot
Chrysochromulina sp CCMP291	1460289	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/005/GCA_001275005.1_Ctobinv2/GCA_001275005.1_Ctobinv2_genomic.fna.gz	UP000037460_1460289	Uniprot
Physcomitrella patens	3218	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/425/GCA_000002425.2_Phypa_V3/GCA_000002425.2_Phypa_V3_genomic.fna.gz	UP000006727_3218	Uniprot
Pythium ultimum DAOM BR144	1485010	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/271/595/GCA_008271595.1_ASM827159v1/GCA_008271595.1_ASM827159v1_genomic.fna.gz	UP000323770_1485010	Uniprot
Albugo laibachii	890382	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/706/625/GCA_902706625.1_Albugo_laibachii_Nc14/GCA_902706625.1_Albugo_laibachii_Nc14_genomic.fna.gz	EP00642	EukProt
Anaeromyces robustus	1754192	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/895/GCA_002104895.1_Anaeromyces_sp._S4_v1.0/GCA_002104895.1_Anaeromyces_sp._S4_v1.0_genomic.fna.gz	UP000193944_1754192	Uniprot
Neocallimastix californiae	1754190	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/975/GCA_002104975.1_Neocallimastix_sp._G1_v1.0/GCA_002104975.1_Neocallimastix_sp._G1_v1.0_genomic.fna.gz	UP000193920_1754190	Uniprot
Piromyces finnis	1754191	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/945/GCA_002104945.1_Piromyces_sp._finnis_v3.0/GCA_002104945.1_Piromyces_sp._finnis_v3.0_genomic.fna.gz	UP000193719_1754191	Uniprot
Endogone sp. FLAS-F59071	2340872	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/990/785/GCA_003990785.1_Endsp1/GCA_003990785.1_Endsp1_genomic.fna.gz	UP000278417_2340872	Uniprot
Rhizopus microsporus ATCC 52813	1340429	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/708/625/GCA_002708625.1_Rhimi1_1/GCA_002708625.1_Rhimi1_1_genomic.fna.gz	UP000242254_1340429	Uniprot
Lobosporangium transversale	64571	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/155/GCA_002105155.1_Lobtra1/GCA_002105155.1_Lobtra1_genomic.fna.gz	UP000193648_64571	Uniprot
Arthrobotrys flagrans	97331	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/000/055/GCA_004000055.1_DF_1.0/GCA_004000055.1_DF_1.0_genomic.fna.gz	UP000283090_97331	Uniprot
Ascodesmis nigricans	341454	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/786/065/GCA_004786065.1_Ascni1/GCA_004786065.1_Ascni1_genomic.fna.gz	UP000298138_341454	Uniprot
Bipolaris zeicola 26-R-13	930089	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/435/GCA_000523435.1_Cochliobolus_carbonum_v1.0/GCA_000523435.1_Cochliobolus_carbonum_v1.0_genomic.fna.gz	UP000053841_930089	Uniprot
Diplodia corticola	236234	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/883/845/GCA_001883845.1_ASM188384v1/GCA_001883845.1_ASM188384v1_genomic.fna.gz	UP000183809_236234	Uniprot
Porphyridium purpureum	35688	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/702/435/GCA_019702435.1_ASM1970243v1/GCA_019702435.1_ASM1970243v1_genomic.fna.gz	UP000324585_35688	Uniprot
Gracilariopsis chorda	448386	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/194/525/GCA_003194525.1_GraCho1.0/GCA_003194525.1_GraCho1.0_genomic.fna.gz	UP000247409_448386	Uniprot
Diphylleia rotans	190327	Transcriptome	Trinity	https://www.ncbi.nlm.nih.gov/sra/?term=txid190327[Organism:noexp]	SRR5997434	SRA
Rigifila ramosa	1122280	Transcriptome	Trinity	https://www.ncbi.nlm.nih.gov/sra/?term=txid1122280[Organism:noexp]	SRR5997435	SRA
