cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG000487	not significant	0.85874	1	0.8181818181818182	0.8181818181818181	1.0	0.8125	0.8125	0.0072
I14_OG000489	not significant	0.04237	1	1.0	1.0	1.0	0.6875	0.6875	0.3953
I14_OG000490	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000492	not significant	0.7003	0	0.18181818181818182	0.18181818181818177	0.0	0.0625	0.0625	0.1866
I14_OG000493	not significant	0.82368	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000494	not significant	0.0856	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000498	not significant	0.79694	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000499	not significant	0.13843	1	1.0	1.0	1.0	0.78125	0.8125	0.334
I14_OG000502	not significant	0.83001	0.0	0.45454545454545453	0.4545454545454546	0.0	0.3125	0.3125	0.1445
I14_OG000505	not significant	0.8987	0	0.3181818181818182	0.36363636363636365	0.0	0.25	0.25	0.0766
I14_OG000507	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000508	present_enriched	0.00196	1.0	0.8181818181818182	0.8181818181818181	0.0	0.4375	0.4375	0.3807
I14_OG000511	not significant	0.80543	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000515	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000516	not significant	0.81424	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000517	not significant	0.79772	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000521	not significant	0.8085	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000524	not significant	0.44056	1.0	0.8181818181818182	0.8181818181818181	1.0	0.5625	0.5625	0.2665
I14_OG000526	present_enriched	0.00717	1	1.0	1.0	1.0	0.625	0.625	0.4432
I14_OG000530	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000531	not significant	0.55173	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000533	not significant	0.11528	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000536	not significant	0.35336	1.0	0.7727272727272727	0.8181818181818181	0.5	0.5	0.5	0.2804
I14_OG000542	not significant	0.28484	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000543	not significant	0.0408	1	1.0	1.0	1.0	0.6875	0.6875	0.3953
I14_OG000545	not significant	0.68532	1.0	0.9090909090909091	0.9090909090909091	1.0	0.75	0.75	0.2012
I14_OG000548	not significant	0.63372	1	0.9545454545454546	1.0	1.0	0.8125	0.8125	0.2169
I14_OG000549	not significant	0.9496	0	0.09090909090909091	0.09090909090909094	0.0	0.125	0.125	-0.0533
I14_OG000551	not significant	0.72192	1.0	0.8181818181818182	0.9090909090909091	1.0	0.65625	0.6875	0.1914
I14_OG000552	not significant	0.7925	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000554	not significant	0.02451	1	0.7272727272727273	0.8181818181818181	0.0	0.34375	0.375	0.3998
I14_OG000555	present_enriched	0.00188	1	0.8181818181818182	0.8181818181818181	0.0	0.4375	0.4375	0.3807
I14_OG000556	not significant	0.97762	1	0.8181818181818182	0.8181818181818181	1.0	0.8125	0.8125	0.0072
I14_OG000557	present_enriched	0.0	1.0	0.6818181818181818	0.7272727272727273	0.0	0.125	0.125	0.5849
I14_OG000558	not significant	0.589	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000560	not significant	0.03102	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000561	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000562	not significant	0.90193	1	0.5909090909090909	0.6363636363636364	0.5	0.5	0.5	0.0913
I14_OG000565	not significant	0.59852	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000566	not significant	0.84672	1.0	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000567	not significant	0.95323	0.0	0.45454545454545453	0.4545454545454546	0.5	0.5	0.5	-0.0447
I14_OG000569	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000570	not significant	0.83136	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000571	not significant	0.02812	1	0.9545454545454546	1.0	1.0	0.6875	0.6875	0.3355
I14_OG000575	not significant	0.95056	0.0	0.4090909090909091	0.4545454545454546	0.0	0.375	0.375	0.035
I14_OG000576	not significant	0.13767	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000577	not significant	0.5549	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000579	not significant	0.16364	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000582	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000584	not significant	0.37735	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000585	not significant	0.83198	0	0.36363636363636365	0.36363636363636365	0.5	0.5	0.5	-0.1348
I14_OG000587	not significant	0.23872	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000589	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000592	not significant	0.97885	1	0.8181818181818182	0.8181818181818181	1.0	0.8125	0.8125	0.0072
I14_OG000593	not significant	0.90515	0	0.36363636363636365	0.36363636363636365	0.0	0.4375	0.4375	-0.0739
I14_OG000595	not significant	0.93694	0	0.22727272727272727	0.2727272727272727	0.0	0.1875	0.1875	0.05
I14_OG000596	not significant	0.68147	1	0.6818181818181818	0.7272727272727273	0.5	0.5	0.5	0.1842
I14_OG000598	not significant	0.90032	1.0	0.8181818181818182	0.8181818181818181	1.0	0.75	0.75	0.0806
I14_OG000599	not significant	0.78768	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000600	not significant	0.3389	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000601	not significant	0.04865	1	0.7727272727272727	0.8181818181818181	0.0	0.4375	0.4375	0.3396
I14_OG000603	not significant	0.12161	1.0	0.6818181818181818	0.7272727272727273	0.0	0.375	0.375	0.3073
I14_OG000606	not significant	0.78423	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000607	not significant	0.60445	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000608	not significant	0.54167	1	0.9545454545454546	1.0	1.0	1.0	1.0	-0.2365
I14_OG000609	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000614	not significant	0.78889	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000616	not significant	0.78923	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000624	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000625	not significant	0.1418	1	0.9090909090909091	0.9090909090909091	1.0	0.5625	0.5625	0.373
I14_OG000626	not significant	0.68208	1.0	0.9090909090909091	0.9090909090909091	1.0	0.75	0.75	0.2012
I14_OG000627	not significant	0.80735	1.0	0.5454545454545454	0.5454545454545454	1.0	0.6875	0.6875	-0.1445
I14_OG000630	not significant	0.84397	1.0	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000631	not significant	0.85937	1.0	0.7272727272727273	0.7272727272727273	1.0	0.625	0.625	0.1066
I14_OG000632	not significant	0.79356	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000635	not significant	0.39624	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000636	not significant	0.94587	0	0.3181818181818182	0.36363636363636365	0.0	0.28125	0.3125	0.0416
I14_OG000641	not significant	0.83876	1	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000643	not significant	0.81434	1	0.6818181818181818	0.7272727272727273	1.0	0.625	0.625	0.0597
I14_OG000644	not significant	0.11257	1	0.8636363636363636	0.9090909090909091	0.5	0.5	0.5	0.382
I14_OG000646	not significant	0.59007	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000647	not significant	0.33246	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000650	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000651	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000653	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000657	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000658	not significant	0.60565	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000659	not significant	0.45751	1	1.0	1.0	1.0	0.84375	0.875	0.2808
I14_OG000661	not significant	0.60671	1	1.0	1.0	1.0	0.875	0.875	0.2345
